directory,file_name,variable_name,variable_type,description
data/,df_mm_road_type.rda,blue_babs,double,absorption coefficient of black carbon at the Blue wavelength channel
data/,df_mm_road_type.rda,ir_babs,double,absorption coefficient of black carbon at the IR (infrared) wavelength channel
data/,df_mm_road_type.rda,date_time,double,date and time of monitoring
data/,df_mm_road_type.rda,day_type,character,type of day of monitoring - weekend or weeday 
data/,df_mm_road_type.rda,id,double,id is a unique identifier given to every monitoring session and experiment given in the data structure
data/,df_mm_road_type.rda,date_start,double,starting date of the experiment
data/,df_mm_road_type.rda,date_end,double,end date of the experiment
data/,df_mm_road_type.rda,start_time,double,starting time of the experiment
data/,df_mm_road_type.rda,end_time,double,end time of the experiment
data/,df_mm_road_type.rda,exp_type,character,type of experiment
data/,df_mm_road_type.rda,settlement_id,character,settlement name at which the monitoring was conducted
data/,df_mm_road_type.rda,time_of_day,character,"the days are divided into three types - morning, first half and second half"
data/,df_mm_road_type.rda,type_of_settlement,character,type of settlement - formal or informal
data/,df_mm_road_type.rda,id_road_type,double,a unique id given to different roads sections
data/,df_mm_road_type.rda,type_of_road,character,roads are categorised as highways and non-highways
data/,df_pm.rda,serial_number,character,serial number of the MA200 monitoring from which the data is collected
data/,df_pm.rda,session_id,double,session number of the MA200 monitor (each monitoring session is automatically given a number in the output file of MA200 monitoring data)
data/,df_pm.rda,date,double,date of monitoring
data/,df_pm.rda,time,double,time of monitoring
data/,df_pm.rda,lat,double,latitude of location of monitoring
data/,df_pm.rda,long,double,longitude of location of monitoring
data/,df_pm.rda,uv_bcc,double,concentration of black carbon at the UV (ultravoilet) wavelength channel in ng/m3
data/,df_pm.rda,blue_bcc,double,concentration of black carbon at the Blue wavelength channel in ng/m3
data/,df_pm.rda,ir_bcc,double,concentration of black carbon at the IR (infrared) wavelength channel in ng/m3
data/,df_pm.rda,uv_babs,double,absorption coefficient of black carbon at the UV (ultravoilet) wavelength channel
data/,df_pm.rda,blue_babs,double,absorption coefficient of black carbon at the Blue wavelength channel
data/,df_pm.rda,ir_babs,double,absorption coefficient of black carbon at the IR (infrared) wavelength channel
data/,df_pm.rda,date_time,double,date and time of monitoring
data/,df_pm.rda,day_type,character,type of day of monitoring - weekend or weeday 
data/,df_pm.rda,id,double,id is a unique identifier given to every monitoring session and experiment given in the data structure
data/,df_pm.rda,date_start,double,starting date of the experiment
data/,df_pm.rda,date_end,double,end date of the experiment
data/,df_pm.rda,start_time,double,starting time of the experiment
data/,df_pm.rda,end_time,double,end time of the experiment
data/,df_pm.rda,exp_type,character,type of experiment
data/,df_pm.rda,settlement_id,character,settlement name at which the monitoring was conducted
data/,df_pm.rda,time_of_day,character,"the days are divided into three types - morning, first half and second half"
data/,df_pm.rda,type_of_settlement,character,type of settlement - formal or informal
data/,df_pm_trips.rda,serial_number,character,serial number of the MA200 monitoring from which the data is collected
data/,df_pm_trips.rda,session_id,double,session number of the MA200 monitor (each monitoring session is automatically given a number in the output file of MA200 monitoring data)
data/,df_pm_trips.rda,date,double,date of monitoring
data/,df_pm_trips.rda,time,double,time when a burning event was observed
data/,df_pm_trips.rda,id,double,id is a unique identifier given to every monitoring session and experiment given in the data structure
data/,df_pm_trips.rda,date_start,double,starting date of the experiment
data/,df_pm_trips.rda,date_end,double,ending date of the experiment
data/,df_pm_trips.rda,start_time,double,starting time of the experiment
data/,df_pm_trips.rda,end_time,double,ending time of the experiment
data/,df_pm_trips.rda,exp_type,character,type of experiment
data/,df_pm_trips.rda,settlement_id,character,settlement name at which the monitoring was conducted
data/,df_sm.rda,serial_number,character,serial number of the MA200 monitoring from which the data is collected
data/,df_sm.rda,session_id,double,session number of the MA200 monitor (each monitoring session is automatically given a number in the output file of MA200 monitoring data)
data/,df_sm.rda,date,double,date of monitoring
data/,df_sm.rda,time,double,time of monitoring
data/,df_sm.rda,lat,double,latitude of location of monitoring
data/,df_sm.rda,long,double,longitude of location of monitoring
data/,df_sm.rda,uv_bcc,double,concentration of black carbon at the UV (ultravoilet) wavelength channel in ng/m3
data/,df_sm.rda,blue_bcc,double,concentration of black carbon at the Blue wavelength channel in ng/m3
data/,df_sm.rda,ir_bcc,double,concentration of black carbon at the IR (infrared) wavelength channel in ng/m3
data/,df_sm.rda,uv_babs,double,absorption coefficient of black carbon at the UV (ultravoilet) wavelength channel
data/,df_sm.rda,blue_babs,double,absorption coefficient of black carbon at the Blue wavelength channel
data/,df_sm.rda,ir_babs,double,absorption coefficient of black carbon at the IR (infrared) wavelength channel
data/,df_sm.rda,date_time,double,date and time of monitoring
data/,df_sm.rda,day_type,character,type of day of monitoring - weekend or weeday 
data/,df_sm.rda,id,double,id is a unique identifier given to every monitoring session and experiment given in the data structure
data/,df_sm.rda,date_start,double,starting date of the experiment
data/,df_sm.rda,date_end,double,end date of the experiment
data/,df_sm.rda,start_time,double,starting time of the experiment
data/,df_sm.rda,end_time,double,end time of the experiment
data/,df_sm.rda,exp_type,character,type of experiment
data/,df_sm.rda,settlement_id,character,settlement name at which the monitoring was conducted
