"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","19363","55","1","1.10","1.4","2023-05-03T16:13:00","120","2023/05/03","16:13:00","-15.798867762088776","35.00439449911937","8.4","17","30","66","38","-24150","689","-7263","15","150","150.03","115.25","34.79","31.65","0.0","-203.54","90316","30.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","895105","771222","940653","0.000000","0.000000","0.000000","858392","978387","804757","0.000000","0.000000","0.000000","935825","957808","839590","0.000000","0.000000","0.000000","809012","861336","786227","0.000000","0.000000","0.000000","754779","871472","960994","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","19364","55","1","1.10","1.4","2023-05-03T16:13:30","120","2023/05/03","16:13:30","-15.796015679836273","35.00438333302736","11.2","17","30","66","38","-24668","2496","-6308","15","150","150.23","115.91","34.32","31.66","38.0","15.62","90500","30.88","DUALSPOT-UV-BLUE-GREEN-RED-IR","858970","744368","909827","0.000000","0.000000","0.000000","812340","929858","766225","0.000000","0.000000","0.000000","902113","926710","813474","0.000000","0.000000","0.000000","880403","940139","859236","0.000000","0.000000","0.000000","744459","861563","950805","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","19365","55","1","1.10","1.4","2023-05-03T16:14:00","120","2023/05/03","16:14:00","-15.794694364070892","35.00398749904707","1.8","17","30","66","38","-23796","-588","-8580","15","150","149.83","115.83","34.00","31.66","37.9","15.57","90588","31.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","850605","738671","903619","0.000000","0.000000","0.000000","806220","924277","762097","0.000000","0.000000","0.000000","902207","927985","815035","0.000000","0.000000","0.000000","881482","942256","861559","0.000000","0.000000","0.000000","744934","862761","952353","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","19366","55","1","1.10","1.4","2023-05-03T16:14:30","120","2023/05/03","16:14:30","-15.794676065444946","35.00392166618258","0.1","16","30","66","38","-23796","-2476","-9960","15","150","149.80","115.87","33.93","31.64","37.7","15.46","90568","31.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","850448","739242","904650","0.000000","0.000000","0.000000","806156","924755","762735","0.000000","0.000000","0.000000","900955","927188","814550","0.000000","0.000000","0.000000","878982","939980","859663","0.000000","0.000000","0.000000","744173","862177","951845","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","19367","55","1","1.10","1.4","2023-05-03T16:15:00","120","2023/05/03","16:15:00","-15.794606328010559","35.003596833208576","3.3","16","30","66","38","-24624","-2692","-6088","15","150","149.90","115.79","34.10","31.60","37.5","15.34","90536","30.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","849600","738695","904044","0.000000","0.000000","0.000000","804895","923444","761695","0.000000","0.000000","0.000000","901550","927882","815232","0.000000","0.000000","0.000000","879273","940362","860068","0.000000","0.000000","0.000000","744574","862654","952398","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","19368","55","1","1.10","1.4","2023-05-03T16:15:30","120","2023/05/03","16:15:30","-15.794393241405487","35.00268733268604","1.9","16","30","64","37","-24432","-3300","-6752","15","150","149.66","115.50","34.16","31.58","37.2","15.21","90500","30.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","853632","742351","908633","0.000000","0.000000","0.000000","802420","920711","759514","0.000000","0.000000","0.000000","898774","925097","812833","0.000000","0.000000","0.000000","883844","945344","864655","0.000000","0.000000","0.000000","742523","860365","949869","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","",""
"MA200-0416","19369","55","1","1.10","1.4","2023-05-03T16:16:00","120","2023/05/03","16:16:00","-15.795017421245575","35.00193949986715","4.6","16","30","64","37","-24588","-352","-5740","15","150","149.87","115.63","34.24","31.54","37.1","15.12","90476","30.88","DUALSPOT-UV-BLUE-GREEN-RED-IR","853023","742002","908254","0.031027","0.007888","0.000000","807932","927122","764821","0.017035","0.006336","0.000000","903385","929919","817126","0.014108","0.005692","0.000000","884067","945620","864950","0.009447","0.004452","0.000000","742396","860221","949740","0.004148","0.001040","0.000000","1576","1353","1576","1092","1371","1092","1013","1380","1013","819","1304","819","501","424","501",""
"MA200-0416","19370","55","1","1.10","1.4","2023-05-03T16:16:30","120","2023/05/03","16:16:30","-15.79527598619461","35.00077266653534","4.8","16","30","64","37","-24013","36","-8769","15","150","149.76","115.71","34.05","31.51","37.1","15.09","90556","30.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","850916","740713","906830","0.118792","0.024230","0.000000","806230","925620","763687","0.076377","0.017822","0.000000","902558","929443","816759","0.059896","0.014317","0.000000","881026","942621","862303","0.045943","0.012785","0.000000","745998","864544","954547","0.022495","0.002026","0.000000","4454","2818","4454","3801","2500","3801","3285","2102","3285","3164","2455","3164","2214","404","2214",""
"MA200-0416","19371","55","1","1.10","1.4","2023-05-03T16:17:00","120","2023/05/03","16:17:00","-15.795550346374512","34.99969303607941","3.0","16","30","64","38","-24724","-4320","-5956","15","150","150.04","115.92","34.12","31.45","37.2","15.08","90672","30.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","847716","738122","903709","0.153694","0.033500","0.000000","803898","923111","761660","0.097715","0.023920","0.000000","900736","927675","815249","0.076878","0.021028","0.000000","880149","941732","861542","0.058490","0.017708","0.000000","745167","863614","953509","0.027053","0.003829","0.000000","1768","1595","1768","1364","1324","1364","1216","1632","1216","1085","1447","1085","549","738","549",""
"MA200-0416","19372","55","1","1.10","1.4","2023-05-03T16:17:30","120","2023/05/03","16:17:30","-15.795533001422882","34.99876654148102","3.1","16","30","64","38","-24488","-3928","-6892","15","150","149.83","115.79","34.04","31.41","37.3","15.08","90584","30.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","854338","744058","911083","0.186523","0.041353","0.000000","803029","922183","760965","0.117403","0.030035","0.000000","899788","926742","814522","0.093793","0.027400","0.000000","885237","947266","866609","0.070458","0.023234","0.000000","744283","862632","952423","0.029727","0.003779","0.000000","1665","1355","1665","1260","1331","1260","1212","1554","1212","1037","1628","1037","322","-20","322",""
