"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0420","22980","52","1","1.10","1.4","2023-05-04T17:50:02","120","2023/05/04","17:50:02","0","0","0.0","1","30","66","24","-23078","1167","-12271","15","150","0.00","0.00","0.00","0.00","0.0","-204.27","90192","25.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","873123","769446","967145","0.000000","0.000000","0.000000","916106","919248","838861","0.000000","0.000000","0.000000","895353","894557","833869","0.000000","0.000000","0.000000","920675","905812","901954","0.000000","0.000000","0.000000","769745","887895","943967","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","22981","52","1","1.10","1.4","2023-05-04T17:50:32","120","2023/05/04","17:50:32","0","0","0.0","1","30","66","24","-21380","10880","-7320","15","150","149.89","112.60","37.29","27.10","33.1","9.50","90472","26.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","816217","720426","905930","0.000000","0.000000","0.000000","910383","914294","834648","0.000000","0.000000","0.000000","894748","894544","834147","0.000000","0.000000","0.000000","910434","896138","892740","0.000000","0.000000","0.000000","786411","907795","965147","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","22982","52","1","1.10","1.4","2023-05-04T17:51:02","120","2023/05/04","17:51:02","0","0","0.0","2","30","66","24","-24912","1195","-5841","15","150","149.76","112.24","37.51","27.12","33.8","9.80","90472","26.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","810461","718545","905220","0.000000","0.000000","0.000000","912812","919491","840418","0.000000","0.000000","0.000000","889915","892002","832639","0.000000","0.000000","0.000000","905296","892907","890249","0.000000","0.000000","0.000000","783198","905290","962988","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","22983","52","1","1.10","1.4","2023-05-04T17:51:32","120","2023/05/04","17:51:32","0","0","0.0","2","30","66","24","-23495","8145","-5983","15","150","149.56","112.08","37.48","27.14","34.2","10.02","90400","26.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","802336","717813","907776","0.000000","0.000000","0.000000","900322","912783","836572","0.000000","0.000000","0.000000","880501","887397","830281","0.000000","0.000000","0.000000","895545","887181","886211","0.000000","0.000000","0.000000","782716","907359","966353","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","22984","52","1","1.10","1.4","2023-05-04T17:52:02","120","2023/05/04","17:52:02","0","0","0.0","3","30","66","24","-22183","10175","-5258","15","150","149.37","111.88","37.49","27.17","34.6","10.19","90340","26.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","797043","715222","905653","0.000000","0.000000","0.000000","901769","916016","840233","0.000000","0.000000","0.000000","881921","890334","833599","0.000000","0.000000","0.000000","899590","892373","891869","0.000000","0.000000","0.000000","780264","905230","964439","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","22985","52","1","1.10","1.4","2023-05-04T17:52:32","120","2023/05/04","17:52:32","0","0","0.0","3","30","64","23","-20060","13556","-5236","15","150","150.15","112.44","37.71","27.20","34.8","10.33","90304","26.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","787833","712119","904630","0.000000","0.000000","0.000000","887781","906711","833635","0.000000","0.000000","0.000000","875736","888158","833213","0.000000","0.000000","0.000000","888023","884190","885128","0.000000","0.000000","0.000000","777820","904627","964851","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","",""
"MA200-0420","22986","52","1","1.10","1.4","2023-05-04T17:53:02","120","2023/05/04","17:53:02","0","0","0.0","6","30","64","24","-20583","12745","-5245","15","150","149.56","111.53","38.03","27.23","35.0","10.45","90308","26.88","DUALSPOT-UV-BLUE-GREEN-RED-IR","787609","714698","909513","0.662179","0.204105","0.000000","888502","910058","837783","0.488436","0.147909","0.000000","869954","884523","830717","0.424581","0.128209","0.000000","887687","885664","887336","0.344425","0.101801","0.000000","777767","905772","966621","0.228580","0.069991","0.000000","34872","31524","34872","32465","28833","32465","31605","27990","31605","30982","26857","30982","28630","25710","28630",""
"MA200-0420","22987","52","1","1.10","1.4","2023-05-04T17:53:32","120","2023/05/04","17:53:32","0","0","0.0","7","30","64","24","-23212","8488","-4936","15","150","149.56","111.65","37.91","27.27","35.2","10.57","90312","26.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","786547","714850","910394","0.934100","0.289667","0.000000","888303","910881","838927","0.677067","0.204450","0.000000","870503","885919","832373","0.586348","0.175994","0.000000","889763","888445","890406","0.473948","0.139593","0.000000","774305","902154","962954","0.310150","0.095270","0.000000","14304","13256","14304","12524","11056","12524","12028","10464","12028","11638","10001","11638","10205","9315","10205",""
"MA200-0420","22988","52","1","1.10","1.4","2023-05-04T17:54:02","120","2023/05/04","17:54:02","0","0","0.0","9","30","64","24","-20792","12916","-6428","15","150","149.76","111.97","37.79","27.32","35.4","10.69","90424","27.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","778916","709173","903846","1.193944","0.372507","0.000000","886839","910441","839005","0.855952","0.260455","0.000000","868698","884993","831886","0.737982","0.222480","0.000000","887354","886738","889032","0.597423","0.177662","0.000000","773002","901118","962088","0.392101","0.122197","0.000000","13631","12875","13631","11844","10986","11844","11243","10212","11243","11064","10106","11064","10224","9953","10224",""
"MA200-0420","22989","52","1","1.10","1.4","2023-05-04T17:54:32","120","2023/05/04","17:54:32","0","0","0.0","10","30","64","24","-23820","6956","-6268","15","150","150.02","111.65","38.38","27.36","35.6","10.80","90492","27.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","780649","711315","906984","1.326778","0.415191","0.000000","889195","913340","841849","0.934666","0.283259","0.000000","871068","887802","834644","0.804477","0.243234","0.000000","884359","884028","886428","0.648250","0.193450","0.000000","775510","904197","965520","0.423553","0.131908","0.000000","6988","6533","6988","5226","4405","5226","4944","4490","4944","4567","4127","4567","3935","3535","3935",""
"MA200-0420","22990","52","1","1.10","1.4","2023-05-04T17:55:02","120","2023/05/04","17:55:02","0","0","0.0","8","30","64","23","-21708","11172","-5344","15","150","149.56","112.01","37.55","27.39","35.7","10.87","90428","27.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","780809","712199","908546","1.476820","0.463417","0.000000","883419","908042","837180","1.027214","0.311667","0.000000","866326","883403","830747","0.880199","0.265103","0.000000","885539","885585","888184","0.707506","0.209851","0.000000","776264","905352","966826","0.462789","0.144116","0.000000","7868","7542","7868","6125","5607","6125","5612","4834","5612","5307","4381","5307","4893","4540","4893",""
"MA200-0420","22991","52","1","1.10","1.4","2023-05-04T17:55:32","120","2023/05/04","17:55:32","0","0","0.0","8","30","64","23","-22525","8720","-6812","15","150","149.74","111.94","37.79","27.40","35.8","10.90","90348","27.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","781191","713315","910401","1.625068","0.509880","0.000000","883815","909054","838341","1.115214","0.337451","0.000000","866521","884136","831591","0.953715","0.285118","0.000000","886057","886500","889208","0.764093","0.226386","0.000000","771948","900571","961795","0.497905","0.152226","0.000000","7778","7220","7778","5827","5057","5827","5452","4396","5452","5071","4389","5071","4382","2997","4382",""
"MA200-0420","22992","52","1","1.10","1.4","2023-05-04T17:56:02","120","2023/05/04","17:56:02","0","0","0.0","9","30","64","24","-21045","11520","-7366","15","150","149.63","112.28","37.34","27.41","35.9","10.95","90404","27.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","776740","710085","906791","1.807766","0.566753","0.000000","880186","905959","835738","1.223796","0.368744","0.000000","867997","886164","833696","1.042657","0.311177","0.000000","888634","889501","892402","0.834502","0.246380","0.000000","773501","902684","964150","0.543464","0.163660","0.000000","9557","8945","9557","7168","6212","7168","6576","5793","6576","6291","5371","6291","5668","4277","5668",""
