"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","34587","100","1","1.10","1.6","2023-07-07T08:07:37","120","2023/07/07","08:07:37","0","0","0.0","0","5","82","92","-25052","-1322","1283","5","100","0.00","0.00","0.00","0.00","0.0","-204.27","90100","18.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","0","0","0","0.000000","0.000000","0.000000","0","0","0","0.000000","0.000000","0.000000","989611","1005353","900962","0.000000","0.000000","0.000000","0","0","0","0.000000","0.000000","0.000000","0","0","0","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-Optical saturation-DualSpot on"
"MA200-0416","34588","100","1","1.10","1.6","2023-07-07T08:07:42","120","2023/07/07","08:07:42","0","0","0.0","0","5","66","92","-23164","-3352","8488","5","100","99.51","77.60","21.91","18.92","65.2","12.23","90100","18.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","850286","729715","909056","0.000000","0.000000","0.000000","797642","902913","760451","0.000000","0.000000","0.000000","929306","943785","845910","0.000000","0.000000","0.000000","906437","954105","890398","0.000000","0.000000","0.000000","746438","852666","947345","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34589","100","1","1.10","1.6","2023-07-07T08:07:47","120","2023/07/07","08:07:47","0","0","0.0","0","5","66","92","-20684","2540","6952","5","100","100.27","77.22","23.06","18.95","65.3","12.28","90104","18.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","848431","728215","907167","0.000000","0.000000","0.000000","801008","906803","763670","0.000000","0.000000","0.000000","916923","931306","834624","0.000000","0.000000","0.000000","876699","922918","861250","0.000000","0.000000","0.000000","749179","855862","950915","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34590","100","1","1.10","1.6","2023-07-07T08:07:52","120","2023/07/07","08:07:52","0","0","0.0","0","5","66","92","-4084","-13423","18432","5","100","97.60","76.48","21.11","18.98","65.5","12.36","90104","18.81","DUALSPOT-UV-BLUE-GREEN-RED-IR","846114","726359","904675","0.000000","0.000000","0.000000","804139","910482","766632","0.000000","0.000000","0.000000","909290","923612","827582","0.000000","0.000000","0.000000","880639","927065","865085","0.000000","0.000000","0.000000","751008","858062","953173","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34591","100","1","1.10","1.6","2023-07-07T08:07:57","120","2023/07/07","08:07:57","0","0","0.0","0","5","66","92","3304","-668","22900","5","100","98.64","75.65","22.99","19.00","65.7","12.42","90116","19.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","849507","729424","908533","0.000000","0.000000","0.000000","796294","901592","759214","0.000000","0.000000","0.000000","890985","904989","810907","0.000000","0.000000","0.000000","876784","923109","861303","0.000000","0.000000","0.000000","752525","859921","955109","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34592","100","1","1.10","1.6","2023-07-07T08:08:02","120","2023/07/07","08:08:02","0","0","0.0","0","5","66","92","3487","-684","23068","5","100","100.11","77.09","23.02","19.03","65.6","12.45","90108","19.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","848179","728359","907327","0.000000","0.000000","0.000000","800225","906071","763025","0.000000","0.000000","0.000000","893990","908072","813753","0.000000","0.000000","0.000000","882170","928800","866682","0.000000","0.000000","0.000000","751785","859137","954236","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34593","100","1","1.10","1.6","2023-07-07T08:08:07","120","2023/07/07","08:08:07","0","0","0.0","0","5","66","92","3548","-188","22896","5","100","100.33","77.08","23.25","19.07","65.4","12.44","90104","19.19","DUALSPOT-UV-BLUE-GREEN-RED-IR","851222","731053","910781","0.000000","0.000000","0.000000","802444","908606","765214","0.000000","0.000000","0.000000","895693","909838","815347","0.000000","0.000000","0.000000","878616","925110","863244","0.000000","0.000000","0.000000","753044","860612","955997","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34594","100","1","1.10","1.6","2023-07-07T08:08:12","120","2023/07/07","08:08:12","0","0","0.0","0","5","66","92","3597","-254","22986","5","100","100.03","76.48","23.55","19.09","65.2","12.40","90108","19.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","847071","727542","906474","0.000000","0.000000","0.000000","799274","905068","762283","0.000000","0.000000","0.000000","896852","911071","816471","0.000000","0.000000","0.000000","880531","927156","865172","0.000000","0.000000","0.000000","750132","857317","952374","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34595","100","1","1.10","1.6","2023-07-07T08:08:17","120","2023/07/07","08:08:17","0","0","0.0","0","5","66","91","3636","-239","22968","5","100","100.73","77.32","23.41","19.12","65.0","12.38","90108","19.38","DUALSPOT-UV-BLUE-GREEN-RED-IR","847422","727877","906945","0.000000","0.000000","0.000000","799404","905225","762424","0.000000","0.000000","0.000000","897296","911545","816912","0.000000","0.000000","0.000000","880977","927645","865660","0.000000","0.000000","0.000000","750163","857364","952481","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","34596","100","1","1.10","1.6","2023-07-07T08:08:22","120","2023/07/07","08:08:22","0","0","0.0","0","5","66","92","3639","-260","22952","5","100","100.16","76.64","23.52","19.14","64.8","12.35","90104","19.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","845292","726080","904781","0.000000","0.000000","0.000000","803174","909476","766032","0.000000","0.000000","0.000000","899819","914113","819235","0.000000","0.000000","0.000000","878205","924717","862951","0.000000","0.000000","0.000000","748594","855611","950566","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
