"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","32223","95","1","1.10","1.4","2023-05-31T08:26:31","120","2023/05/31","08:26:31","-15.78719848394394","35.03445966169238","0.0","9","30","66","92","2056","-2544","-25960","13","150","150.01","114.10","35.91","22.60","49.3","11.43","89912","23.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","852363","732173","909426","0.000000","0.000000","0.000000","800243","907909","762078","0.000000","0.000000","0.000000","896590","912876","815534","0.000000","0.000000","0.000000","881932","932216","865418","0.000000","0.000000","0.000000","746295","855675","952408","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","32224","95","1","1.10","1.4","2023-05-31T08:27:01","120","2023/05/31","08:27:01","-15.787188649177551","35.03445916250348","0.3","9","30","66","91","2064","-2672","-26260","13","150","149.43","114.04","35.39","22.67","49.2","11.47","89908","23.19","DUALSPOT-UV-BLUE-GREEN-RED-IR","848416","729148","905855","0.000000","0.000000","0.000000","802099","910305","764210","0.000000","0.000000","0.000000","893121","909626","812678","0.000000","0.000000","0.000000","877966","928242","861772","0.000000","0.000000","0.000000","746784","856430","953300","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","32225","95","1","1.10","1.4","2023-05-31T08:27:31","120","2023/05/31","08:27:31","-15.787204027175903","35.0344498232007","0.2","9","30","66","91","1924","-2868","-26319","13","150","149.70","114.80","34.90","22.75","49.1","11.50","89908","23.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","851433","732086","909622","0.000000","0.000000","0.000000","799169","907228","761670","0.000000","0.000000","0.000000","895147","911909","814764","0.000000","0.000000","0.000000","882301","933007","866240","0.000000","0.000000","0.000000","744969","854513","951203","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","32226","95","1","1.10","1.4","2023-05-31T08:28:01","120","2023/05/31","08:28:01","-15.78721970319748","35.03447199240327","0.4","9","30","66","91","1943","-2900","-26291","13","150","150.49","115.16","35.34","22.81","49.2","11.61","89908","23.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","845201","727002","903398","0.000000","0.000000","0.000000","799515","907861","762258","0.000000","0.000000","0.000000","895756","912682","815466","0.000000","0.000000","0.000000","883350","934300","867445","0.000000","0.000000","0.000000","745482","855208","952036","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","32227","95","1","1.10","1.4","2023-05-31T08:28:31","120","2023/05/31","08:28:31","-15.787229835987091","35.034483660012484","0.1","10","30","66","91","2000","-2772","-26188","13","150","149.70","115.55","34.14","22.87","49.6","11.78","89908","23.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","848045","729734","906913","0.000000","0.000000","0.000000","801679","910521","764519","0.000000","0.000000","0.000000","897437","914578","817194","0.000000","0.000000","0.000000","876991","927659","861267","0.000000","0.000000","0.000000","745825","855712","952565","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","32228","95","1","1.10","1.4","2023-05-31T08:29:01","120","2023/05/31","08:29:01","-15.787190794944763","35.034463331103325","0.1","10","30","64","90","2008","-2708","-26286","13","150","150.38","116.16","34.22","22.93","49.7","11.86","89908","23.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","845265","727614","904398","0.000000","0.000000","0.000000","799694","908491","762879","0.000000","0.000000","0.000000","895585","912881","815691","0.000000","0.000000","0.000000","875749","926498","860207","0.000000","0.000000","0.000000","744333","854071","950763","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","",""
"MA200-0416","32229","95","1","1.10","1.4","2023-05-31T08:29:31","120","2023/05/31","08:29:31","-15.787188827991486","35.034461326897144","0.0","10","30","64","90","2140","-2764","-26384","13","150","150.10","115.58","34.53","22.99","49.6","11.89","89908","23.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","848870","730996","908749","0.052278","0.013069","0.000000","802266","911593","765550","0.029915","0.007707","0.000000","897727","915213","817821","0.023467","0.005084","0.000000","879453","930542","863982","0.017046","0.002479","0.000000","746513","856711","953732","0.015777","0.003198","0.000000","2656","2223","2656","1918","1654","1918","1685","1222","1685","1479","720","1479","1906","1294","1906",""
"MA200-0416","32230","95","1","1.10","1.4","2023-05-31T08:30:01","120","2023/05/31","08:30:01","-15.78718501329422","35.034447990357876","0.4","12","30","64","90","-2273","-519","-26161","13","150","149.73","115.45","34.28","23.05","49.4","11.88","89904","23.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","850028","732239","910396","0.104814","0.028764","0.000000","798429","907423","762088","0.059676","0.015611","0.000000","892984","910479","813656","0.047261","0.012654","0.000000","879634","930865","864301","0.034403","0.006580","0.000000","746219","856432","953475","0.030399","0.007471","0.000000","2672","2688","2672","1911","1709","1911","1711","1832","1711","1508","1200","1508","1769","1740","1769",""
"MA200-0416","32231","95","1","1.10","1.4","2023-05-31T08:30:31","120","2023/05/31","08:30:31","-15.787189662456512","35.03445432707667","0.3","13","30","64","90","-9368","12536","-19844","13","150","149.80","114.46","35.34","23.14","49.5","11.99","89916","23.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","846080","729154","906685","0.157046","0.041589","0.000000","799203","908547","763082","0.089597","0.020599","0.000000","894791","912547","815510","0.068504","0.012302","0.000000","876866","928082","861704","0.049781","0.005799","0.000000","747837","858421","955705","0.044151","0.010735","0.000000","2680","2131","2680","1937","1046","1937","1540","-82","1540","1347","-221","1347","1678","1290","1678",""
"MA200-0416","32232","95","1","1.10","1.4","2023-05-31T08:31:01","120","2023/05/31","08:31:01","-15.787184536457062","35.03446999564767","0.0","12","30","64","90","-3992","6796","-24992","13","150","150.05","115.30","34.75","23.27","49.4","12.07","89916","23.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","844069","727917","905364","0.220884","0.058605","0.000000","798059","907660","762462","0.129854","0.030912","0.000000","897102","915265","818028","0.100023","0.017965","0.000000","880759","932481","865852","0.071185","0.008237","0.000000","746642","857218","954420","0.061691","0.013775","0.000000","3252","2875","3252","2588","2199","2588","2269","1352","2269","1862","703","1862","2125","1222","2125",""
