"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","28238","85","1","1.10","1.4","2023-05-26T09:57:31","120","2023/05/26","09:57:31","-15.795572817325592","35.002981832949445","1.4","13","30","66","33","-7307","-607","-25850","0","150","0.00","0.00","0.00","30.34","0.0","-203.56","90516","29.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","852831","726689","896885","0.000000","0.000000","0.000000","871355","986734","823501","0.000000","0.000000","0.000000","946171","963403","854202","0.000000","0.000000","0.000000","957508","1013370","933448","0.000000","0.000000","0.000000","778936","890985","990207","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","28239","85","1","1.10","1.4","2023-05-26T09:58:01","120","2023/05/26","09:58:01","-15.795782387256622","35.003062333213165","0.6","13","30","66","33","-11912","-2708","-23424","0","150","149.90","116.79","33.11","30.27","48.8","18.29","90532","29.81","DUALSPOT-UV-BLUE-GREEN-RED-IR","857036","731030","902944","0.000000","0.000000","0.000000","804446","911484","761292","0.000000","0.000000","0.000000","901999","918910","815281","0.000000","0.000000","0.000000","901867","955035","880422","0.000000","0.000000","0.000000","746423","854249","949841","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","28240","85","1","1.10","1.4","2023-05-26T09:58:31","120","2023/05/26","09:58:31","-15.795795500278473","35.002968499669805","0.4","13","30","66","32","-435","-2104","-26219","0","150","150.35","116.89","33.46","30.26","48.6","18.22","90532","29.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","858587","732703","905210","0.000000","0.000000","0.000000","806160","913786","763268","0.000000","0.000000","0.000000","903023","920243","816537","0.000000","0.000000","0.000000","886867","939318","866013","0.000000","0.000000","0.000000","747558","855571","951391","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","28241","85","1","1.10","1.4","2023-05-26T09:59:01","120","2023/05/26","09:59:01","-15.795781433582306","35.00296033313498","0.1","14","30","66","33","-4680","-3439","-25596","0","150","150.03","117.02","33.00","30.34","48.1","18.12","90540","30.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","856665","731539","903995","0.000000","0.000000","0.000000","804686","912423","762242","0.000000","0.000000","0.000000","902745","920237","816572","0.000000","0.000000","0.000000","885985","938635","865432","0.000000","0.000000","0.000000","746732","854714","950553","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","28242","85","1","1.10","1.4","2023-05-26T09:59:31","120","2023/05/26","09:59:31","-15.795768320560455","35.002959166420624","0.1","14","30","66","33","-4653","-3515","-26023","0","150","150.09","117.18","32.91","30.53","47.6","18.13","90544","30.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","857416","732649","905619","0.000000","0.000000","0.000000","805188","913375","763105","0.000000","0.000000","0.000000","898707","916358","813196","0.000000","0.000000","0.000000","885118","937915","864799","0.000000","0.000000","0.000000","750719","859407","955853","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","28243","85","1","1.10","1.4","2023-05-26T10:00:01","120","2023/05/26","10:00:01","-15.795767486095428","35.00296466657892","0.1","13","30","64","33","-4632","-3552","-25796","0","150","149.51","117.46","32.04","30.81","47.1","18.22","90532","30.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","857508","733174","906556","0.000000","0.000000","0.000000","804903","913377","763154","0.000000","0.000000","0.000000","899726","917698","814373","0.000000","0.000000","0.000000","886288","939353","866121","0.000000","0.000000","0.000000","750492","859287","955852","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","",""
"MA200-0416","28244","85","1","1.10","1.4","2023-05-26T10:00:31","120","2023/05/26","10:00:31","-15.79576164484024","35.00296516646631","0.0","13","30","64","32","-4650","-3545","-25795","0","150","150.06","117.30","32.77","31.15","46.7","18.39","90544","30.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","856538","732830","906357","0.092189","0.028612","0.000000","804170","912881","762769","0.040501","0.003665","0.000000","899532","917781","814428","0.026977","-0.002485","0.000000","885388","938623","865405","0.021296","-0.003534","0.000000","749096","857868","954386","0.033815","0.010290","0.000000","4616","5128","4616","2559","829","2559","1909","-629","1909","1821","-1082","1821","4027","4386","4027",""
"MA200-0416","28245","85","1","1.10","1.4","2023-05-26T10:01:01","120","2023/05/26","10:01:01","-15.795769095420837","35.00296266656369","0.0","13","30","64","33","-4612","-3579","-25841","0","150","149.51","117.02","32.48","31.54","46.3","18.62","90548","31.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","856643","733391","907259","0.182129","0.054162","0.000000","804329","913426","763224","0.078785","0.004058","0.000000","896576","915046","811924","0.052046","-0.010335","0.000000","884476","937924","864688","0.038141","-0.011717","0.000000","748303","857235","953773","0.072628","0.021668","0.000000","4514","4620","4514","2425","89","2425","1778","-2006","1778","1444","-2527","1444","4633","4893","4633",""
"MA200-0416","28246","85","1","1.10","1.4","2023-05-26T10:01:31","120","2023/05/26","10:01:31","-15.795772910118103","35.00296299974434","0.0","13","30","64","32","-4608","-3580","-25800","0","150","149.94","117.04","32.89","31.96","45.8","18.82","90544","31.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","856025","733380","907504","0.277545","0.080801","0.000000","804120","913531","763273","0.114601","0.000642","0.000000","899955","918795","815179","0.074786","-0.020134","0.000000","884479","938179","864781","0.052905","-0.024271","0.000000","746524","855438","951882","0.115755","0.033262","0.000000","4788","4756","4788","2268","-769","2268","1612","-2473","1612","1265","-3828","1265","5147","4923","5147",""
"MA200-0416","28247","85","1","1.10","1.4","2023-05-26T10:02:01","120","2023/05/26","10:02:01","-15.795780956745148","35.002957166405395","0.0","13","30","64","32","-4508","-3476","-25891","0","150","149.82","116.69","33.13","32.38","45.1","18.97","90544","31.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","856313","734093","908613","0.366869","0.104522","0.000000","803923","913645","763331","0.143146","-0.007783","0.000000","900395","919555","815708","0.090116","-0.035131","0.000000","885112","939089","865471","0.059658","-0.044155","0.000000","744937","854029","950388","0.166589","0.042626","0.000000","4495","4206","4495","1813","-1885","1813","1090","-3758","1090","580","-6022","580","6085","3949","6085",""
