"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","57788","117","1","1.10","1.6","2023-08-14T17:24:59","120","2023/08/14","17:24:59","0","0","0.0","0","300","66","23","-3880","-4832","-25744","1","150","149.55","115.39","34.16","29.09","38.4","13.50","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","784937","707733","906992","0.000000","0.000000","0.000000","747794","875094","761529","0.000000","0.000000","0.000000","842708","884101","815412","0.000000","0.000000","0.000000","831444","903507","862100","0.000000","0.000000","0.000000","708695","843119","951298","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","57789","117","1","1.10","1.6","2023-08-14T17:29:59","120","2023/08/14","17:29:59","0","0","0.0","0","300","64","22","-3996","-4804","-25784","1","150","149.60","118.24","31.35","28.82","37.2","12.76","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","762611","700705","905585","0.000000","0.000000","0.000000","735411","873733","765474","0.000000","0.000000","0.000000","827281","879509","815981","0.000000","0.000000","0.000000","817295","898165","861307","0.000000","0.000000","0.000000","701818","841769","952981","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","DualSpot on"
"MA200-0416","57790","117","1","1.10","1.6","2023-08-14T17:34:59","120","2023/08/14","17:34:59","0","0","0.0","0","300","64","22","-3871","-4940","-25688","1","150","149.44","120.67","28.77","28.53","37.0","12.43","89452","27.88","DUALSPOT-UV-BLUE-GREEN-RED-IR","744381","696264","907430","2.626316","0.839271","0.000000","717740","865098","763031","2.114777","0.672030","0.000000","810118","872196","813929","1.846302","0.583237","0.000000","806738","896041","863445","1.551809","0.489128","0.000000","693051","837562","951264","1.084497","0.323308","0.000000","12783","17135","12783","12992","17317","12992","12702","16831","12702","12902","17058","12902","12554","15699","12554","DualSpot on"
"MA200-0416","57791","117","1","1.10","1.6","2023-08-14T17:39:59","120","2023/08/14","17:39:59","0","0","0.0","1","300","64","22","-3860","-4968","-25596","1","150","149.45","120.50","28.95","28.29","37.1","12.23","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","727213","690739","907208","4.944618","1.613521","0.074184","708396","864349","766915","3.940362","1.268053","0.087856","798614","868999","815088","3.429302","1.094502","0.097970","796416","892533","863706","2.872343","0.910371","0.000000","688582","837499","953807","1.997215","0.595713","0.000000","11300","15710","17846","11231","15264","17178","10906","14663","16425","10994","14600","10994","10581","13146","10581","DualSpot on"
"MA200-0416","57792","117","1","1.10","1.6","2023-08-14T17:44:59","120","2023/08/14","17:44:59","0","0","0.0","1","300","64","21","-3916","-4816","-25708","1","150","149.96","120.66","29.30","28.06","37.3","12.13","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","710070","683813","904624","7.040176","2.337089","0.054982","696751","858946","765991","5.481224","1.777678","0.063644","788250","865373","815150","4.743712","1.521020","0.069797","786193","887617","861909","3.957717","1.255971","0.079124","684025","836341","954522","2.740081","0.812602","0.000000","10200","14504","16643","9466","12893","14538","9044","12085","13520","9024","11833","13139","8600","10340","8600","DualSpot on"
"MA200-0416","57793","117","1","1.10","1.6","2023-08-14T17:49:59","120","2023/08/14","17:49:59","0","0","0.0","0","300","64","21","-3916","-4891","-25587","1","150","150.31","121.14","29.17","27.86","37.3","11.96","89444","27.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","696548","680941","908655","9.392981","3.193090","0.046445","683523","851627","763586","7.073483","2.314609","0.052738","776579","860313","813936","6.073692","1.953321","0.056010","780822","888216","865436","5.046202","1.595843","0.059956","678435","834001","953832","3.478988","1.017594","0.050842","11408","17235","20236","9744","13644","15542","9115","12303","13814","9014","11688","12925","8521","9816","10352","DualSpot on"
"MA200-0416","57794","117","1","1.10","1.6","2023-08-14T17:54:59","120","2023/08/14","17:54:59","0","0","0.0","1","300","64","21","-3839","-4864","-25932","1","150","149.63","120.62","29.01","27.69","37.4","11.85","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","678826","674532","909177","12.044378","4.203356","0.039269","671956","847008","764259","8.877163","2.947581","0.045887","766367","857510","815381","7.582336","2.461212","0.049035","772264","885887","866619","6.288659","1.994181","0.052125","670377","829097","950541","4.335632","1.261910","0.047897","12910","20454","24497","11085","16174","18704","10383","14534","16529","10334","13775","15373","9921","11764","12521","DualSpot on"
"MA200-0416","57795","117","1","1.10","1.6","2023-08-14T17:59:59","120","2023/08/14","17:59:59","0","0","0.0","0","300","64","20","-3896","-5016","-25836","1","150","149.55","121.07","28.48","27.51","37.5","11.73","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","666743","670790","911263","14.073151","4.990869","0.035665","663262","843698","765103","10.293267","3.453058","0.042538","759103","856011","817274","8.771009","2.867501","0.045877","765402","883798","867332","7.267885","2.315181","0.050385","667745","829815","953171","5.008167","1.455572","0.047965","9842","16243","19760","8670","13159","15424","8151","11845","13639","8114","11309","12802","7759","9500","10213","DualSpot on"
"MA200-0416","57796","117","1","1.10","1.6","2023-08-14T18:04:59","120","2023/08/14","18:04:59","0","0","0.0","0","300","64","20","-3855","-4804","-25932","1","150","149.61","121.06","28.54","27.34","37.7","11.64","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","650751","661569","904761","15.792744","5.663950","0.032121","655721","840813","765958","11.551070","3.907698","0.038632","748730","850186","814740","9.839226","3.241091","0.042579","754915","876807","863054","8.152660","2.612269","0.047147","661799","825968","950501","5.621689","1.638632","0.048509","8342","13851","16932","7702","11809","13908","7325","10867","12607","7332","10443","11910","7079","8960","9733","DualSpot on"
"MA200-0416","57797","117","1","1.10","1.6","2023-08-14T18:09:59","120","2023/08/14","18:09:59","0","0","0.0","0","300","64","19","-3876","-4820","-25884","1","150","149.80","120.81","28.98","27.19","37.8","11.54","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","643394","659834","907623","17.242680","6.239937","0.029395","646630","835003","763818","12.667637","4.321432","0.035719","743732","849742","817168","10.802148","3.585028","0.039113","751013","876913","865517","8.955528","2.887762","0.043369","660638","827704","954164","6.183254","1.811311","0.046077","7049","11672","14293","6851","10581","12513","6617","9851","11458","6667","9535","10901","6493","8322","9080","DualSpot on"
