"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","53436","114","1","1.10","1.6","2023-07-30T14:20:00","120","2023/07/30","14:20:00","0","0","0.0","13","300","66","56","-252","-1228","-26600","1","150","149.33","115.75","33.57","32.78","36.1","15.79","89388","32.38","DUALSPOT-UV-BLUE-GREEN-RED-IR","823494","724100","905834","0.000000","0.000000","0.000000","771980","896429","761217","0.000000","0.000000","0.000000","865930","903239","814181","0.000000","0.000000","0.000000","856502","926783","865667","0.000000","0.000000","0.000000","721335","844810","950676","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","53437","114","1","1.10","1.6","2023-07-30T14:25:00","120","2023/07/30","14:25:00","0","0","0.0","13","300","64","55","-356","-1180","-26480","1","150","150.28","117.67","32.61","32.57","35.2","15.22","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","812042","722260","908044","0.000000","0.000000","0.000000","767906","898720","765805","0.000000","0.000000","0.000000","860612","903373","816493","0.000000","0.000000","0.000000","845048","918754","859949","0.000000","0.000000","0.000000","720130","846001","953278","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","DualSpot on"
"MA200-0416","53438","114","1","1.10","1.6","2023-07-30T14:30:00","120","2023/07/30","14:30:00","0","0","0.0","13","300","64","55","-328","-1148","-26580","1","150","150.30","116.51","33.79","32.43","34.2","14.64","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","789588","713625","903483","2.256407","0.691427","0.000000","754239","891425","762899","1.403531","0.433940","0.000000","848132","897021","813538","1.087444","0.337338","0.000000","841542","920100","863436","0.813385","0.253689","0.000000","714766","842555","950769","0.482839","0.143371","0.000000","11375","12019","11375","8930","9521","8930","7748","8289","7748","7004","7533","7004","5789","5927","5789","DualSpot on"
"MA200-0416","53439","114","1","1.10","1.6","2023-07-30T14:35:00","120","2023/07/30","14:35:00","0","0","0.0","13","300","64","54","-384","-1088","-26373","1","150","150.56","117.20","33.37","32.35","33.9","14.43","89372","31.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","761569","705359","902880","5.847595","1.801803","0.018898","739451","885690","762464","3.343294","1.025808","0.028023","836907","893844","814085","2.500349","0.764530","0.000000","832965","917111","863185","1.814465","0.554925","0.000000","711331","841777","951417","1.037036","0.304031","0.000000","17998","19545","20234","12270","13149","13538","10009","10628","10009","8569","9057","8569","6605","6725","6605","DualSpot on"
"MA200-0416","53440","114","1","1.10","1.6","2023-07-30T14:40:00","120","2023/07/30","14:40:00","0","0","0.0","13","300","64","53","-312","-1112","-26441","1","150","149.55","116.80","32.75","32.29","33.0","13.97","89364","31.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","747764","700746","902572","7.636793","2.418687","0.032959","729949","881454","761949","4.561949","1.435262","0.049221","828308","890433","813655","3.472149","1.086705","0.060458","826358","914363","862704","2.550734","0.795132","0.000000","707916","840276","951080","1.479177","0.442983","0.000000","8997","11065","12023","7734","9269","9974","6907","8168","8742","6324","7359","6324","5288","5927","5288","DualSpot on"
"MA200-0416","53441","114","1","1.10","1.6","2023-07-30T14:45:00","120","2023/07/30","14:45:00","0","0","0.0","13","300","64","53","-288","-1136","-26480","1","150","149.91","116.23","33.68","32.28","32.9","13.91","89360","31.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","729522","694717","902656","10.111576","3.291111","0.024051","718258","876668","762034","6.183638","1.985920","0.032691","817945","886800","813727","4.740769","1.507574","0.036996","818890","911884","863033","3.500045","1.103920","0.043424","704223","839212","951487","2.044689","0.618195","0.000000","12505","15216","16524","10343","12121","12963","9061","10375","10988","8194","9199","9662","6796","7268","6796","DualSpot on"
"MA200-0416","53442","114","1","1.10","1.6","2023-07-30T14:50:00","120","2023/07/30","14:50:00","0","0","0.0","13","300","64","53","-208","-1120","-26416","1","150","149.44","116.04","33.39","32.26","32.5","13.72","89356","31.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","712509","691958","908533","13.123566","4.338699","0.018105","707541","874886","765318","8.121402","2.621950","0.021169","804611","881546","812823","6.275500","1.993042","0.020227","807144","906263","860698","4.672287","1.458478","0.014787","698142","836237","950046","2.761364","0.819630","0.000000","15245","18425","19996","12379","14119","14949","10980","12069","12576","10134","10652","10887","8627","8426","8627","DualSpot on"
"MA200-0416","53443","114","1","1.10","1.6","2023-07-30T14:55:00","120","2023/07/30","14:55:00","0","0","0.0","13","300","64","52","-320","-1148","-26719","1","150","149.80","116.21","33.59","32.24","32.0","13.43","89360","31.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","689400","681091","903709","15.880104","5.388092","0.020424","692720","866639","763003","9.926198","3.261865","0.025434","794305","878416","813906","7.689269","2.474874","0.027180","800546","905277","862780","5.732034","1.803607","0.027235","694844","836039","951605","3.394407","1.007457","0.010723","13932","18350","20620","11513","14123","15401","10100","11909","12768","9149","10309","10841","7609","7811","7897","DualSpot on"
"MA200-0416","53444","114","1","1.10","1.6","2023-07-30T15:00:00","120","2023/07/30","15:00:00","0","0","0.0","13","300","64","51","-308","-1064","-26503","1","150","150.09","116.67","33.43","32.23","31.5","13.21","89356","31.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","676169","676084","903924","17.869350","6.158155","0.019521","683254","862594","763257","11.352201","3.770918","0.023707","785598","875187","814035","8.819592","2.863860","0.026016","793903","902970","863031","6.601660","2.089798","0.027052","691350","834964","951923","3.939808","1.171248","0.016270","10014","13530","15379","9061","11289","12397","8043","9661","10438","7478","8589","9104","6530","6844","6977","DualSpot on"
"MA200-0416","53445","114","1","1.10","1.6","2023-07-30T15:05:00","120","2023/07/30","15:05:00","0","0","0.0","13","300","64","51","-320","-1016","-26600","1","150","149.66","116.96","32.70","32.22","31.2","13.04","89356","31.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","667322","672474","903940","19.187108","6.695696","0.021553","676266","859118","763100","12.357037","4.151655","0.028206","778806","872250","813699","9.651965","3.165203","0.031598","788287","900460","862614","7.262312","2.318287","0.035564","688228","833649","951702","4.367321","1.306733","0.036649","6617","9655","11283","6368","8631","9776","5908","7651","8501","5667","7010","7640","5106","5788","6079","DualSpot on"
"MA200-0416","53446","114","1","1.10","1.6","2023-07-30T15:10:00","120","2023/07/30","15:10:00","0","0","0.0","13","300","64","50","-320","-1208","-26236","1","150","150.11","117.69","32.42","32.20","30.6","12.74","89352","31.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","660531","669734","904445","20.267868","7.161087","0.022969","670490","856066","762949","13.200512","4.489101","0.030809","774115","870806","814611","10.368699","3.438883","0.035321","785162","900171","864138","7.839386","2.528030","0.040874","686521","833620","952907","4.744983","1.434329","0.051652","5393","8431","10091","5312","7716","8954","5056","7008","7977","4919","6490","7238","4482","5498","5938","DualSpot on"
"MA200-0416","53447","114","1","1.10","1.6","2023-07-30T15:15:00","120","2023/07/30","15:15:00","0","0","0.0","14","300","64","50","-280","-1100","-26452","1","150","149.98","118.07","31.91","32.19","30.4","12.61","89348","31.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","653124","665934","903388","21.286808","7.614650","0.023574","664974","853038","762750","14.002956","4.817968","0.031456","768692","868344","814506","11.054517","3.707033","0.036358","780866","898374","864180","8.393566","2.733809","0.042496","683893","832454","952733","5.109009","1.559279","0.054776","5068","8348","10174","5038","7639","9004","4822","6976","8063","4709","6469","7320","4306","5469","5980","DualSpot on"
