"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0420","43083","72","1","1.10","1.6","2023-07-15T12:20:00","120","2023/07/15","12:20:00","0","0","0.0","1","300","66","13","936","-26903","608","14","150","150.15","117.53","32.62","19.41","63.7","12.35","90676","19.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","804048","702679","892603","0.000000","0.000000","0.000000","910742","907969","836900","0.000000","0.000000","0.000000","892284","886451","834628","0.000000","0.000000","0.000000","920189","900884","904901","0.000000","0.000000","0.000000","790188","902341","962755","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","43084","72","1","1.10","1.6","2023-07-15T12:25:00","120","2023/07/15","12:25:00","-15.795605957508087","35.002825166331604","0.3","7","300","64","23","891","-27195","429","14","150","149.91","117.83","32.07","20.88","61.8","13.29","90712","23.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","845911","743820","948463","0.000000","0.000000","0.000000","906123","906100","836796","0.000000","0.000000","0.000000","888745","885134","834767","0.000000","0.000000","0.000000","918853","901269","906557","0.000000","0.000000","0.000000","787458","900727","961882","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","DualSpot on"
"MA200-0420","43085","72","1","1.10","1.6","2023-07-15T12:30:00","120","2023/07/15","12:30:00","-15.795660316944122","35.002816332736984","0.0","11","300","64","24","933","-27070","733","14","150","150.15","117.74","32.41","22.16","58.6","13.66","90712","24.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","815700","720880","921665","0.772874","0.266258","0.000000","904794","907187","838951","0.410443","0.144290","0.000000","886315","884664","835251","0.335854","0.116080","0.000000","901926","886143","892223","0.271743","0.102231","0.000000","786559","901312","963111","0.242385","0.064957","0.000000","3855","4825","3855","2584","3300","2584","2368","2973","2368","2315","3164","2315","2875","2800","2875","DualSpot on"
"MA200-0420","43086","72","1","1.10","1.6","2023-07-15T12:35:00","120","2023/07/15","12:35:00","-15.795585334300995","35.00287399953231","0.1","12","300","64","25","792","-26888","528","14","150","149.60","117.20","32.40","23.21","56.0","13.94","90700","25.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","797308","706749","904450","1.176171","0.366077","0.000000","900108","903592","835808","0.553417","0.166433","0.000000","880489","879614","830496","0.422292","0.114965","0.000000","902306","886986","893015","0.316762","0.096638","0.000000","788194","903899","965632","0.299005","0.038490","0.000000","2021","1809","2021","904","506","904","612","-28","612","385","-173","385","674","-1141","674","DualSpot on"
"MA200-0420","43087","72","1","1.10","1.6","2023-07-15T12:40:00","120","2023/07/15","12:40:00","-15.795749962329865","35.00265733292326","0.3","11","300","64","26","912","-27096","288","14","150","150.46","117.50","32.96","24.03","53.9","14.13","90696","25.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","795445","707630","906689","1.654758","0.484155","0.000000","900830","905842","838290","0.770854","0.219023","0.000000","879332","879584","830666","0.575053","0.141829","0.000000","895180","880710","886850","0.419801","0.115878","0.000000","789207","905989","967840","0.394140","0.036568","0.000000","2392","2104","2392","1371","1182","1371","1079","676","1079","879","585","879","1131","-81","1131","DualSpot on"
"MA200-0420","43088","72","1","1.10","1.6","2023-07-15T12:45:00","120","2023/07/15","12:45:00","-15.795673608779907","35.00271683302708","0.2","11","300","64","27","963","-27140","748","14","150","149.71","116.56","33.15","24.89","52.8","14.59","90684","26.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","793149","708133","908569","2.144150","0.615600","0.000000","899619","906135","838979","0.982755","0.263619","0.000000","877639","879027","830337","0.727045","0.165909","0.000000","894186","880505","886859","0.528746","0.137440","0.000000","785245","902309","963916","0.494356","0.037535","0.000000","2466","2328","2466","1347","997","1347","1082","603","1082","937","652","937","1201","40","1201","DualSpot on"
"MA200-0420","43089","72","1","1.10","1.6","2023-07-15T12:50:00","120","2023/07/15","12:50:00","-15.795653223991394","35.0028061659541","0.1","11","300","64","28","980","-27275","716","14","150","150.01","116.54","33.47","25.47","50.6","14.46","90680","27.19","DUALSPOT-UV-BLUE-GREEN-RED-IR","785861","704250","904640","2.640055","0.736040","0.000000","893049","901065","834786","1.214068","0.322443","0.000000","877515","880029","831573","0.890439","0.200176","0.000000","895312","882396","888956","0.639236","0.158622","0.000000","783381","900916","962475","0.585563","0.043062","0.000000","2499","2113","2499","1471","1302","1471","1164","849","1164","951","634","951","1093","230","1093","DualSpot on"
"MA200-0420","43090","72","1","1.10","1.6","2023-07-15T12:55:00","120","2023/07/15","12:55:00","-15.795872509479523","35.00273716612719","0.5","11","300","64","31","954","-27025","400","14","150","150.01","116.99","33.02","25.76","49.4","14.35","90680","27.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","786534","708108","910955","3.243732","0.881433","-0.077730","897078","907150","840937","1.502335","0.388186","0.000000","879410","883444","835107","1.099508","0.240504","0.000000","891943","880075","886846","0.781023","0.183856","0.000000","785027","903617","965402","0.676237","0.047442","0.000000","3030","2586","2420","1826","1476","1826","1483","1014","1483","1215","766","1215","1082","185","1082","DualSpot on"
"MA200-0420","43091","72","1","1.10","1.6","2023-07-15T13:00:00","120","2023/07/15","13:00:00","-15.795661330223083","35.00280383275822","0.1","11","300","64","32","980","-27068","548","14","150","149.76","117.06","32.70","25.96","48.3","14.20","90676","27.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","777446","703332","906351","3.904199","1.054227","-0.024315","889359","901477","836363","1.821082","0.469892","0.000000","873678","879258","831642","1.336139","0.296533","0.000000","893266","882512","889614","0.941991","0.220511","0.000000","785143","904507","966521","0.775650","0.060193","0.000000","3313","3104","3026","2018","1852","2018","1678","1422","1678","1379","1124","1379","1186","544","1186","DualSpot on"
"MA200-0420","43092","72","1","1.10","1.6","2023-07-15T13:05:00","120","2023/07/15","13:05:00","-15.795547187328339","35.002775999717414","0.1","10","300","64","35","824","-27091","880","14","150","150.02","116.71","33.31","26.12","47.3","14.03","90664","27.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","776556","705468","910433","4.471534","1.200836","-0.033236","891163","905168","840332","2.094078","0.538313","0.000000","874502","881408","834046","1.536297","0.343513","0.000000","889212","879409","886761","1.075607","0.251110","0.000000","781209","900580","962390","0.853498","0.071390","0.000000","2855","2585","2485","1734","1522","1734","1423","1170","1423","1148","921","1148","931","469","931","DualSpot on"
