"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","59925","123","1","1.10","1.6","2023-08-24T10:55:00","120","2023/08/24","10:55:00","-15.787209212779999","35.03528366237879","0.3","12","300","66","32","-1364","24304","-1624","0","150","149.54","118.76","30.79","29.85","39.2","14.48","89412","30.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","783159","705447","907366","0.000000","0.000000","0.000000","760423","894401","782704","0.000000","0.000000","0.000000","835503","880791","816296","0.000000","0.000000","0.000000","830234","906708","867967","0.000000","0.000000","0.000000","704044","832283","951395","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","59926","123","1","1.10","1.6","2023-08-24T11:00:00","120","2023/08/24","11:00:00","-15.786994516849518","35.03527748957276","0.1","13","300","64","13","-1220","24324","-1092","0","150","150.22","118.71","31.51","30.96","36.6","14.40","89412","31.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","761659","698928","906305","0.000000","0.000000","0.000000","724412","862226","758034","0.000000","0.000000","0.000000","823622","876768","815282","0.000000","0.000000","0.000000","812768","894376","858065","0.000000","0.000000","0.000000","698779","829945","950346","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","DualSpot on"
"MA200-0416","59927","123","1","1.10","1.6","2023-08-24T11:05:00","120","2023/08/24","11:05:00","-15.78715866804123","35.03527615964413","0.0","13","300","64","12","-1200","24379","-1137","0","150","149.64","118.07","31.57","31.27","34.9","13.94","89392","30.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","737766","689575","902085","2.728782","0.880863","0.000000","714493","861035","760936","1.761502","0.526589","0.000000","813126","874299","816211","1.403123","0.395709","0.000000","807958","896060","862075","1.061537","0.276601","0.000000","694145","828551","950560","0.693994","0.193095","0.000000","13575","16389","13575","11060","12366","11060","9866","10407","9866","9020","8790","9020","8211","8545","8211","DualSpot on"
"MA200-0416","59928","123","1","1.10","1.6","2023-08-24T11:10:00","120","2023/08/24","11:10:00","-15.78720909357071","35.03527332469821","0.3","13","300","64","11","-1236","24380","-1116","0","150","149.96","117.70","32.26","31.50","33.3","13.44","89404","30.81","DUALSPOT-UV-BLUE-GREEN-RED-IR","725107","687772","906677","4.983154","1.652034","0.054307","706127","860086","763906","3.327820","1.025366","0.056948","800161","867986","813494","2.676503","0.785779","0.000000","802075","895678","864173","2.040001","0.561642","0.000000","690016","827262","950870","1.322738","0.378523","0.000000","11249","14040","15423","9865","11461","12172","8982","10038","8982","8340","8864","8340","7462","8029","7462","DualSpot on"
"MA200-0416","59929","123","1","1.10","1.6","2023-08-24T11:15:00","120","2023/08/24","11:15:00","-15.787058293819427","35.035289492458105","0.3","13","300","64","10","-1288","24464","-1088","0","150","149.59","117.13","32.46","31.63","32.2","12.99","89392","30.88","DUALSPOT-UV-BLUE-GREEN-RED-IR","713487","684936","908920","6.844118","2.313089","0.043605","697036","856818","764447","4.694116","1.476526","0.046495","792781","866614","815147","3.807441","1.147210","0.047193","797584","896149","866983","2.922425","0.830543","0.000000","687333","827363","952586","1.889953","0.548208","0.000000","9332","11960","13302","8647","10302","11061","8016","9243","9772","7558","8310","7558","6765","7301","6765","DualSpot on"
"MA200-0416","59930","123","1","1.10","1.6","2023-08-24T11:20:00","120","2023/08/24","11:20:00","-15.787071943283081","35.03530265763402","0.2","13","300","64","9","-1192","24300","-967","0","150","149.70","117.02","32.67","31.70","31.4","12.67","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","700974","680883","909751","8.705475","2.995300","0.037086","688561","854040","765502","6.061172","1.940411","0.039693","784146","863731","815476","4.941748","1.517748","0.039871","783782","886046","859545","3.809733","1.107931","0.037907","683407","825868","952528","2.456886","0.721358","0.000000","9342","12264","13796","8660","10525","11403","8047","9415","10021","7607","8517","8891","6767","7403","6767","DualSpot on"
"MA200-0416","59931","123","1","1.10","1.6","2023-08-24T11:25:00","120","2023/08/24","11:25:00","-15.787090241909027","35.03530299291015","0.1","13","300","64","8","-1258","24445","-1175","0","150","149.70","116.91","32.79","31.84","30.9","12.58","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","687493","675000","907875","10.442432","3.659736","0.034376","678697","848857","764346","7.352033","2.397090","0.037994","774878","859631","814574","6.019582","1.883035","0.038631","782500","889714","865480","4.660773","1.384085","0.039131","677982","822357","950143","3.004627","0.894863","0.051748","8726","11901","13613","8185","10324","11358","7654","9248","9973","7303","8448","8932","6545","7391","7750","DualSpot on"
"MA200-0416","59932","123","1","1.10","1.6","2023-08-24T11:30:00","120","2023/08/24","11:30:00","-15.787109792232513","35.0352674908936","0.3","13","300","64","7","-1328","24388","-948","0","150","149.54","117.27","32.27","32.04","30.7","12.65","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","675831","670495","907977","12.169083","4.340606","0.033060","669977","844763","764073","8.615235","2.847611","0.035594","766937","856787","814763","7.078919","2.241593","0.035577","775673","886986","865163","5.498738","1.651203","0.033575","677368","824783","954529","3.556205","1.065237","0.041858","8647","12392","14468","7985","10349","11516","7499","9224","10024","7168","8304","8791","6570","7375","7719","DualSpot on"
"MA200-0416","59933","123","1","1.10","1.6","2023-08-24T11:35:00","120","2023/08/24","11:35:00","-15.787065744400024","35.03530599176884","0.2","13","300","64","5","-1344","24548","-1132","0","150","149.45","118.26","31.19","32.16","29.9","12.36","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","666100","667497","909977","13.841047","5.013790","0.032678","662837","842377","765402","9.855574","3.301018","0.037268","759668","854437","815518","8.120215","2.605408","0.039841","764428","878969","859694","6.325979","1.922017","0.040690","674233","824001","955288","4.096859","1.236905","0.055191","8304","12677","15162","7775","10777","12289","7310","9684","10806","7018","8711","9450","6386","7689","8252","DualSpot on"
"MA200-0416","59934","123","1","1.10","1.6","2023-08-24T11:40:00","120","2023/08/24","11:40:00","-15.787154972553253","35.03522899001837","0.7","12","300","64","4","-1184","24488","-1060","0","150","149.33","118.46","30.87","32.24","29.3","12.09","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","650645","658413","903821","15.513256","5.702518","0.030850","651123","833855","761195","11.092287","3.768843","0.036617","752827","852360","816572","9.154860","2.979338","0.039811","759702","878240","861354","7.141078","2.201420","0.043852","667382","818477","950531","4.623569","1.410243","0.059352","8291","13104","15902","7739","11234","13033","7251","10056","11410","6903","9080","10051","6211","7844","8560","DualSpot on"
"MA200-0416","59935","123","1","1.10","1.6","2023-08-24T11:45:00","120","2023/08/24","11:45:00","-15.78714382648468","35.0352538228035","0.0","12","300","64","3","-1392","24316","-720","0","150","149.89","118.48","31.41","32.31","29.1","12.08","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","641635","655197","905500","17.090610","6.372860","0.028680","644496","831259","762229","12.249182","4.214179","0.033301","746002","849815","817046","10.120690","3.334981","0.036270","754871","877025","862468","7.907445","2.468485","0.039671","660513","812732","945436","5.122532","1.578167","0.054703","7819","12534","15337","7238","10509","12225","6767","9399","10693","6489","8529","9455","5883","7467","8173","DualSpot on"
"MA200-0416","59936","123","1","1.10","1.6","2023-08-24T11:50:00","120","2023/08/24","11:50:00","-15.787070631980896","35.03528333082795","0.2","12","300","64","1","-1162","24375","-1233","0","150","149.34","118.50","30.84","32.33","29.2","12.12","89364","31.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","632996","651679","906214","18.522384","6.993198","0.027888","637332","827486","762037","13.340435","4.644388","0.033086","736278","843579","813874","11.044859","3.682035","0.036155","749837","875360","863093","8.649229","2.732509","0.040431","661495","816557","951467","5.608558","1.743043","0.054534","7096","11816","14679","6826","10342","12220","6474","9344","10779","6280","8590","9657","5729","7469","8254","DualSpot on"
"MA200-0416","59937","123","1","1.10","1.6","2023-08-24T11:55:00","120","2023/08/24","11:55:00","-15.787111282348633","35.035273157060146","0.2","12","300","64","1","-1295","24416","-1025","0","150","149.42","117.99","31.42","32.35","28.9","11.97","89348","31.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","624429","648059","907073","19.986446","7.645229","0.026082","631180","824889","763073","14.446886","5.095613","0.031207","732822","844387","817654","11.982066","4.047149","0.034338","744535","873321","863462","9.399266","3.010172","0.038798","658563","815563","951939","6.100425","1.914100","0.050547","7287","12188","15224","6951","10645","12658","6594","9647","11204","6377","8865","10037","5823","7604","8419","DualSpot on"
"MA200-0416","59938","123","1","1.10","1.6","2023-08-24T12:00:00","120","2023/08/24","12:00:00","-15.787098109722137","35.03526232764125","0.2","12","300","64","0","-1280","24412","-1164","0","150","150.25","118.18","32.07","32.34","29.0","12.03","89344","31.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","614647","643709","907764","21.622482","8.390915","0.024340","624319","821639","763754","15.621525","5.575603","0.028190","723279","838432","814955","12.958108","4.427522","0.030760","739058","871150","863800","10.175126","3.293651","0.033302","655333","814277","952050","6.601772","2.086189","0.042308","8131","13658","17164","7368","11096","13166","6856","9848","11400","6586","8869","9962","5926","7496","8222","DualSpot on"
"MA200-0416","59939","123","1","1.10","1.6","2023-08-24T12:05:00","120","2023/08/24","12:05:00","-15.787097096443176","35.03526432439685","0.0","12","300","64","0","-1208","24240","-1092","0","150","149.35","118.38","30.97","32.46","29.0","12.16","89344","31.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","602343","636401","904318","23.281434","9.155418","0.023902","615183","815383","761727","16.836482","6.078845","0.028339","717457","836860","816642","13.977043","4.825252","0.030690","730879","865918","861168","10.986319","3.591477","0.034099","649976","810429","949319","7.136902","2.270517","0.044419","8231","14497","18559","7608","12044","14551","7146","10661","12514","6875","9647","10993","6315","8313","9246","DualSpot on"
"MA200-0416","59940","123","1","1.10","1.6","2023-08-24T12:10:00","120","2023/08/24","12:10:00","-15.787164092063904","35.03526499122381","0.1","13","300","64","0","-1172","24248","-1152","0","150","149.53","117.92","31.61","32.57","28.8","12.14","89340","31.81","DUALSPOT-UV-BLUE-GREEN-RED-IR","596578","635067","908526","24.705760","9.830051","0.022677","610030","813491","763404","17.899664","6.530202","0.026757","709560","832091","814935","14.877158","5.185407","0.028948","728429","866958","864540","11.709574","3.862345","0.031782","648249","810818","951372","7.622993","2.441657","0.041408","7094","12536","16133","6684","10586","12827","6337","9460","11131","6153","8597","9801","5758","7564","8414","DualSpot on"
"MA200-0416","59941","123","1","1.10","1.6","2023-08-24T12:15:00","120","2023/08/24","12:15:00","-15.787050664424896","35.03524566069245","0.2","13","300","64","0","-1240","24300","-936","0","150","149.59","117.71","31.88","32.69","28.6","12.12","89336","31.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","584889","626992","902947","26.069752","10.492683","0.021884","601152","806331","760067","18.929730","6.976640","0.025745","701976","827489","813291","15.748266","5.540937","0.027868","719729","860363","860253","12.414774","4.130458","0.030366","646611","811235","953481","8.095199","2.611909","0.040570","6806","12208","15847","6487","10381","12654","6144","9258","10949","6010","8437","9647","5604","7460","8344","DualSpot on"
"MA200-0416","59942","123","1","1.10","1.6","2023-08-24T12:20:00","120","2023/08/24","12:20:00","-15.787072777748108","35.03525782376528","0.2","12","300","64","0","-1164","24404","-1120","0","150","149.53","118.00","31.52","32.77","28.2","11.98","89340","32.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","580045","625824","906959","27.347020","11.124413","0.021551","597318","805647","762766","19.924390","7.417017","0.025672","696930","825586","814363","16.601940","5.899489","0.028325","716303","859878","862103","13.110857","4.402559","0.031340","644359","810869","954669","8.571682","2.784113","0.040041","6357","11770","15482","6248","10356","12791","6006","9443","11337","5918","8659","10046","5640","7631","8588","DualSpot on"
"MA200-0416","59943","123","1","1.10","1.6","2023-08-24T12:25:00","120","2023/08/24","12:25:00","-15.786991894245148","35.035298489034176","0.0","12","300","64","0","-1264","24304","-788","0","150","149.90","118.06","31.84","32.88","28.4","12.15","89336","32.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","570343","619298","903467","28.648362","11.785954","0.020964","593780","805261","765820","20.910090","7.860172","0.024709","693278","825284","816939","17.442008","6.253755","0.026819","715391","862284","866847","13.790289","4.669445","0.029616","639466","807036","951788","9.028473","2.952112","0.038864","6474","12204","16209","6189","10318","12806","5907","9238","11099","5773","8410","9759","5405","7371","8326","DualSpot on"
"MA200-0416","59944","123","1","1.10","1.6","2023-08-24T12:30:00","120","2023/08/24","12:30:00","-15.787060499191284","35.03524615988135","0.1","12","300","64","0","-1264","24228","-1140","0","150","150.21","118.34","31.88","33.01","28.2","12.18","89312","32.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","566897","619251","909162","29.883938","12.425293","0.020473","586777","799883","764022","21.871436","8.300590","0.024247","686660","821254","815819","18.268430","6.608099","0.026331","708217","857175","864001","14.465919","4.937321","0.028848","638335","807983","954543","9.494884","3.123087","0.036821","6132","11779","15798","6022","10241","12822","5798","9228","11172","5728","8430","9830","5506","7492","8465","DualSpot on"
"MA200-0416","59945","123","1","1.10","1.6","2023-08-24T12:35:00","120","2023/08/24","12:35:00","-15.787155449390411","35.03525249287486","0.2","12","300","64","0","-1270","24383","-1175","0","150","150.28","119.25","31.03","33.01","27.7","11.92","89300","32.19","DUALSPOT-UV-BLUE-GREEN-RED-IR","558028","612633","904454","30.947300","12.982285","0.020541","579269","793293","760818","22.736462","8.704776","0.024769","679704","816347","813678","19.023716","6.942278","0.027567","701334","851947","860962","15.091921","5.195568","0.031251","633857","804479","951939","9.929409","3.287567","0.040754","5237","10542","14376","5377","9655","12309","5258","8940","11056","5266","8349","9967","5090","7404","8549","DualSpot on"
"MA200-0416","59946","123","1","1.10","1.6","2023-08-24T12:40:00","120","2023/08/24","12:40:00","-15.787189662456512","35.03525999560952","0.1","12","300","64","0","-1200","24636","-1796","0","150","149.45","119.17","30.27","33.01","27.8","11.94","89308","32.19","DUALSPOT-UV-BLUE-GREEN-RED-IR","551025","608037","902795","32.025460","13.555069","0.020429","573300","788730","759585","23.607024","9.118659","0.024856","673785","812641","812720","19.780018","7.280004","0.027568","695904","848438","859664","15.719114","5.457660","0.031617","630514","802395","951047","10.360973","3.453643","0.042059","5313","11113","15369","5415","10135","13105","5268","9261","11587","5280","8685","10497","5058","7663","8965","DualSpot on"
"MA200-0416","59947","123","1","1.10","1.6","2023-08-24T12:45:00","120","2023/08/24","12:45:00","-15.787102103233337","35.03527649119496","0.2","12","300","64","0","-1288","24384","-684","0","150","149.90","118.62","31.28","33.11","27.7","12.00","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","550070","609875","910617","33.052700","14.107956","0.019511","572286","790911","764830","24.469214","9.529341","0.023256","671741","813609","816496","20.540186","7.619931","0.025567","696460","852300","865875","16.356468","5.722695","0.028743","630654","804785","955555","10.811424","3.626215","0.037479","5086","10381","14324","5388","9732","12503","5320","9022","11205","5390","8500","10174","5305","7706","8918","DualSpot on"
"MA200-0416","59948","123","1","1.10","1.6","2023-08-24T12:50:00","120","2023/08/24","12:50:00","-15.787096083164215","35.03521882370114","0.4","12","300","64","0","-1252","24380","-777","0","150","150.14","119.21","30.93","33.12","27.3","11.79","0","0.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","542493","604441","907931","34.146720","14.705009","0.019316","565994","785707","763015","25.343148","9.954536","0.023293","665412","809228","814913","21.302202","7.969841","0.025888","690088","847579","863389","16.989278","5.992002","0.029263","626363","801458","953223","11.249908","3.797435","0.038441","5390","11336","15833","5434","10189","13265","5307","9390","11832","5325","8734","10591","5138","7732","9053","DualSpot on"
"MA200-0416","59949","123","1","1.10","1.6","2023-08-24T12:55:00","120","2023/08/24","12:55:00","-15.787154972553253","35.035196494311094","0.1","12","300","64","18","-1196","24268","-1016","0","150","149.96","119.09","30.87","33.94","27.2","12.40","89312","35.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","542389","607460","917961","35.273904","15.315578","0.018661","557146","777183","757957","26.269104","10.383589","0.021534","660850","807420","815949","22.110730","8.320762","0.023498","686505","846601","864745","17.668752","6.260588","0.025381","622341","798786","951755","11.739334","3.973455","0.031466","5559","11617","16266","5763","10303","13271","5636","9438","11731","5724","8729","10378","5740","7965","9103","DualSpot on"
"MA200-0416","59950","123","1","1.10","1.6","2023-08-24T13:00:00","120","2023/08/24","13:00:00","-15.787159979343414","35.035238824784756","0.1","12","300","64","18","-1172","24336","-1032","0","150","150.09","118.10","32.00","34.97","26.1","12.68","89320","36.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","531758","598314","909222","36.298496","15.876648","0.017763","556207","779281","762982","27.086976","10.773689","0.020603","654426","802908","813870","22.839768","8.628589","0.020710","681773","844026","863994","18.274868","6.481418","0.019055","619482","797511","951831","12.211708","4.144991","0.027845","5095","10299","14345","5133","9038","11617","5125","7987","9725","5149","6924","7900","5587","7489","8466","DualSpot on"
"MA200-0416","59951","123","1","1.10","1.6","2023-08-24T13:05:00","120","2023/08/24","13:05:00","-15.787178039550781","35.03519465774298","0.1","11","300","64","19","-1064","24324","-1428","0","150","150.43","118.34","32.09","35.70","25.3","12.80","89328","37.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","523534","591477","903473","37.221764","16.388771","0.017499","553111","777961","764402","27.829022","11.124158","0.019862","650868","801510","814736","23.487866","8.905600","0.020495","673542","836678","858118","18.809252","6.677106","0.018718","615144","794078","949191","12.635956","4.297992","0.026384","4582","9374","13143","4648","8096","10393","4546","7167","8767","4530","6118","6992","5008","6660","7512","DualSpot on"
"MA200-0416","59952","123","1","1.10","1.6","2023-08-24T13:10:00","120","2023/08/24","13:10:00","-15.787244021892548","35.03515832871199","0.2","11","300","64","20","-1312","24032","-963","0","150","149.83","117.22","32.61","36.25","24.4","12.70","89328","37.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","521989","591692","907886","38.006084","16.837468","0.017230","547475","772594","761453","28.470802","11.434991","0.019435","648768","801532","816792","24.059850","9.155316","0.019909","672331","837626","860625","19.282850","6.853983","0.018001","615444","796323","953223","13.010696","4.436777","0.025721","3929","8082","11385","4058","7067","9086","4051","6358","7775","4053","5442","6208","4465","5945","6711","DualSpot on"
"MA200-0416","59953","123","1","1.10","1.6","2023-08-24T13:15:00","120","2023/08/24","13:15:00","-15.787134885787964","35.035249657928944","0.4","11","300","64","22","-1048","24368","-1168","0","150","150.16","117.46","32.70","36.80","23.9","12.87","89324","38.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","517939","588975","907667","38.756424","17.274158","0.017108","547596","775251","766484","29.102994","11.748636","0.019497","642497","796180","813381","24.620472","9.407900","0.020318","668489","835255","859802","19.751852","7.039211","0.019956","611129","792558","950043","13.378094","4.577253","0.027072","3752","7844","11134","3989","7110","9223","3962","6413","7928","4005","5683","6612","4369","6001","6850","DualSpot on"
"MA200-0416","59954","123","1","1.10","1.6","2023-08-24T13:20:00","120","2023/08/24","13:20:00","-15.787111103534698","35.035279992967844","0.1","11","300","64","23","-1037","24258","-1208","0","150","149.80","116.88","32.92","37.27","23.5","13.00","89292","38.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","514109","586384","907592","39.490084","17.706394","0.016822","544130","772700","766360","29.723446","12.061203","0.019185","641601","797471","816800","25.174294","9.664858","0.020351","670027","839481","865759","20.218210","7.228028","0.020033","610232","793165","952103","13.744404","4.719030","0.026405","3686","7711","10982","3935","7038","9157","3934","6480","8066","4003","5754","6728","4378","6016","6872","DualSpot on"
"MA200-0416","59955","123","1","1.10","1.6","2023-08-24T13:25:00","120","2023/08/24","13:25:00","-15.787209510803223","35.03515899181366","0.2","12","300","64","26","-962","24425","-1408","0","150","150.56","117.04","33.52","37.63","23.1","13.03","89280","38.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","510694","584097","907821","40.183196","18.124356","0.016630","540699","770044","766085","30.314988","12.367982","0.019068","638494","795801","817127","25.704154","9.916039","0.020083","666690","837436","865286","20.662614","7.414751","0.020402","610730","795460","956203","14.086658","4.856964","0.027216","3478","7324","10484","3746","6785","8879","3758","6221","7769","3809","5589","6585","4084","5748","6624","DualSpot on"
"MA200-0416","59956","123","1","1.10","1.6","2023-08-24T13:30:00","120","2023/08/24","13:30:00","-15.787197172641754","35.03521816059947","0.1","12","300","64","28","-967","24332","-1004","0","150","150.29","116.55","33.75","37.79","22.7","12.87","89288","38.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","507272","581725","907867","40.861384","18.535606","0.016323","533663","762063","760494","30.897580","12.678194","0.019007","632223","790077","813319","26.225276","10.172481","0.020337","659742","830756","860059","21.103240","7.612177","0.021860","604959","789439","950235","14.414204","4.992466","0.027482","3417","7158","10263","3705","6814","8978","3712","6309","7954","3793","5869","7041","3925","5609","6501","DualSpot on"
"MA200-0416","59957","123","1","1.10","1.6","2023-08-24T13:35:00","120","2023/08/24","13:35:00","-15.787275314331055","35.03524715825915","0.1","12","300","64","31","-955","24456","-1396","0","150","149.80","116.67","33.13","38.04","22.5","12.96","89284","39.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","501562","576710","903836","41.553064","18.960510","0.016401","532308","762291","763154","31.500316","12.999150","0.018997","630412","789986","815397","26.764536","10.438316","0.020430","657819","830433","861535","21.564542","7.818044","0.021923","602835","788275","950231","14.763668","5.137993","0.028250","3482","7533","10932","3829","7181","9537","3837","6661","8467","3966","6234","7523","4184","6136","7178","DualSpot on"
"MA200-0416","59958","123","1","1.10","1.6","2023-08-24T13:40:00","120","2023/08/24","13:40:00","-15.787259340286255","35.03521949052811","0.1","12","300","64","33","-1064","24388","-1100","0","150","150.43","116.39","34.04","38.36","22.4","13.16","89304","39.38","DUALSPOT-UV-BLUE-GREEN-RED-IR","500139","576558","907386","42.228160","19.376098","0.015896","526877","756513","759716","32.080666","13.309669","0.018279","625509","785864","813245","27.288638","10.697051","0.019455","656726","831144","863934","22.008686","8.014065","0.020205","600933","787355","950469","15.102840","5.280121","0.026461","3406","7171","10363","3696","6763","8937","3738","6311","7969","3828","5777","6894","4070","5833","6780","DualSpot on"
