"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","59403","122","1","1.10","1.6","2023-08-20T23:40:00","120","2023/08/20","23:40:00","0","0","0.0","1","300","66","13","-1056","8","-26475","8","150","150.49","119.73","30.76","25.93","33.1","8.44","89396","27.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","783305","699780","906673","0.000000","0.000000","0.000000","747904","872730","764493","0.000000","0.000000","0.000000","840217","879470","816297","0.000000","0.000000","0.000000","830130","900555","864034","0.000000","0.000000","0.000000","709258","837852","955730","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0416","59404","122","1","1.10","1.6","2023-08-20T23:45:00","120","2023/08/20","23:45:00","0","0","0.0","1","300","64","22","-1024","24","-26447","8","150","150.13","119.87","30.26","27.09","31.5","8.72","89380","29.38","DUALSPOT-UV-BLUE-GREEN-RED-IR","766663","695128","905026","0.000000","0.000000","0.000000","736218","868065","762874","0.000000","0.000000","0.000000","831077","877364","816396","0.000000","0.000000","0.000000","822491","898222","863364","0.000000","0.000000","0.000000","703468","834558","953026","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","DualSpot on"
"MA200-0416","59405","122","1","1.10","1.6","2023-08-20T23:50:00","120","2023/08/20","23:50:00","0","0","0.0","1","300","64","23","-1004","119","-26619","8","150","149.80","120.73","29.07","28.14","30.1","8.95","89388","30.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","756462","695446","909830","1.865255","0.482841","0.000000","727887","866811","764202","1.301197","0.316197","0.000000","821786","874757","815889","1.054662","0.234121","0.000000","816574","897683","864227","0.812967","0.159740","0.000000","701402","835714","955538","0.550857","0.120535","0.000000","9074","9755","9074","7989","8063","7989","7252","6686","7252","6755","5513","6755","6373","5792","6373","DualSpot on"
"MA200-0416","59406","122","1","1.10","1.6","2023-08-20T23:55:00","120","2023/08/20","23:55:00","0","0","0.0","1","300","64","23","-967","92","-26412","8","150","150.01","120.39","29.62","29.11","28.9","9.19","89400","31.81","DUALSPOT-UV-BLUE-GREEN-RED-IR","735082","686680","903537","4.028978","1.052084","0.021310","716853","863780","764453","2.866274","0.699967","0.000000","810191","871111","814888","2.353593","0.529468","0.000000","806039","893311","861843","1.839513","0.371640","0.000000","693014","830370","950936","1.273250","0.280782","0.000000","10556","11289","11547","9637","9605","9637","8957","8279","8957","8554","7178","8554","8382","7558","8382","DualSpot on"
"MA200-0416","59407","122","1","1.10","1.6","2023-08-21T00:00:00","120","2023/08/21","00:00:00","0","0","0.0","1","300","64","24","-904","80","-26208","8","150","149.76","120.90","28.86","29.94","27.8","9.36","89400","32.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","724767","687083","909207","6.079775","1.619270","0.029247","707477","861839","765633","4.340447","1.078636","0.021195","801500","869768","815974","3.573052","0.818556","-0.002504","802954","896634","866803","2.796230","0.575512","0.000000","687404","827913","949527","1.939994","0.428147","0.000000","9962","11543","12117","9038","9727","9954","8373","8316","8299","7938","7087","7938","7703","7133","7703","DualSpot on"
"MA200-0416","59408","122","1","1.10","1.6","2023-08-21T00:05:00","120","2023/08/21","00:05:00","0","0","0.0","1","300","64","26","-1029","175","-26666","8","150","150.01","121.32","28.68","30.72","26.9","9.55","89396","33.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","713722","684982","911002","7.814293","2.124424","0.030909","699267","859647","766206","5.583361","1.408237","0.025066","792127","866304","814791","4.602699","1.071441","0.010473","790616","888422","860368","3.602031","0.750935","-0.030855","685130","828755","951756","2.503757","0.560055","0.000000","8397","10344","11071","7594","8518","8830","7045","7319","7402","6663","6135","5997","6491","6424","6491","DualSpot on"
"MA200-0416","59409","122","1","1.10","1.6","2023-08-21T00:10:00","120","2023/08/21","00:10:00","0","0","0.0","1","300","64","27","-928","200","-26463","8","150","150.14","120.86","29.29","31.37","26.2","9.68","89396","34.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","700705","680217","909116","9.445223","2.612142","0.025873","689596","855084","764587","6.769196","1.731944","0.021452","783779","863521","814164","5.588217","1.318687","0.007888","789857","892900","866208","4.378411","0.924217","-0.025421","682811","829407","953667","3.045997","0.684392","-0.024486","7926","9780","10489","7273","8193","8509","6770","7008","7082","6445","5935","5799","6267","5930","5832","DualSpot on"
"MA200-0416","59410","122","1","1.10","1.6","2023-08-21T00:15:00","120","2023/08/21","00:15:00","0","0","0.0","1","300","64","29","-828","388","-26528","8","150","149.37","120.48","28.89","31.96","25.6","9.84","89408","34.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","685710","672822","903512","10.993229","3.088386","0.025693","683250","854216","766261","7.909696","2.051908","0.023605","777709","862918","815627","6.542211","1.566529","0.015116","778145","884758","859811","5.131756","1.100450","-0.006242","677207","825912","950859","3.576744","0.811216","-0.001251","7546","9682","10517","7017","8210","8628","6573","7122","7295","6273","6120","6078","6153","6132","6126","DualSpot on"
"MA200-0416","59411","122","1","1.10","1.6","2023-08-21T00:20:00","120","2023/08/21","00:20:00","0","0","0.0","1","300","64","32","-863","196","-26428","8","150","150.30","120.29","30.01","32.44","25.1","9.91","89396","35.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","674921","669269","903114","12.536009","3.577001","0.021837","674742","850529","765516","9.065490","2.386815","0.019822","770380","860868","815832","7.512841","1.827210","0.012210","778274","890078","866648","5.904447","1.290673","-0.002932","675312","826966","953348","4.118347","0.943409","-0.007041","7533","9562","10372","7123","8272","8683","6699","7211","7375","6444","6358","6334","6289","6153","6112","DualSpot on"
"MA200-0416","59412","122","1","1.10","1.6","2023-08-21T00:25:00","120","2023/08/21","00:25:00","0","0","0.0","1","300","64","34","-988","292","-26360","8","150","149.46","120.60","28.86","32.86","24.7","10.03","89404","35.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","668849","670152","908876","14.078306","4.078128","0.023791","665042","845174","763355","10.231269","2.735108","0.024749","761829","857365","814751","8.499026","2.105147","0.022478","769292","884986","863426","6.694314","1.492929","0.012346","672281","826705","954375","4.671840","1.083046","0.014106","7511","10198","11294","7165","8946","9595","6788","7995","8392","6570","7030","7162","6411","6758","6863","DualSpot on"
