"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0420","30066","63","1","1.10","1.6","2023-07-07T08:07:41","120","2023/07/07","08:07:41","0","0","0.0","0","5","210","77","-25202","-2476","879","13","100","0.00","0.00","0.00","0.00","0.0","-204.27","90060","16.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","907602","797930","1020657","0.000000","0.000000","0.000000","1018306","1025558","949128","0.000000","0.000000","0.000000","955373","958476","906521","0.000000","0.000000","0.000000","772607","763205","769739","0.000000","0.000000","0.000000","0","0","0","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-Optical saturation-DualSpot on-Flow unstable"
"MA200-0420","30067","63","1","1.10","1.6","2023-07-07T08:07:46","120","2023/07/07","08:07:46","0","0","0.0","0","5","66","77","-23288","-4736","7172","13","100","104.59","76.25","28.34","17.43","65.1","10.80","90064","16.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","855264","752121","961812","0.000000","0.000000","0.000000","941306","948105","877435","0.000000","0.000000","0.000000","916053","919081","869317","0.000000","0.000000","0.000000","890554","879704","887557","0.000000","0.000000","0.000000","782989","899221","965408","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30068","63","1","1.10","1.6","2023-07-07T08:07:51","120","2023/07/07","08:07:51","0","0","0.0","0","5","66","77","-22008","-863","7540","13","100","99.51","72.15","27.36","17.47","65.0","10.82","90064","16.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","842332","740928","946988","0.000000","0.000000","0.000000","905636","912390","844073","0.000000","0.000000","0.000000","898699","901810","852698","0.000000","0.000000","0.000000","889522","878860","886477","0.000000","0.000000","0.000000","782489","898768","964738","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30069","63","1","1.10","1.6","2023-07-07T08:07:56","120","2023/07/07","08:07:56","0","0","0.0","0","5","66","77","-15","-1334","23061","13","100","98.23","72.65","25.57","17.51","65.2","10.91","90064","16.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","825295","726142","927598","0.000000","0.000000","0.000000","900774","907662","839337","0.000000","0.000000","0.000000","888616","891841","842956","0.000000","0.000000","0.000000","891494","880937","888279","0.000000","0.000000","0.000000","783589","900239","966016","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30070","63","1","1.10","1.6","2023-07-07T08:08:01","120","2023/07/07","08:08:01","0","0","0.0","0","5","66","77","1120","-4712","22708","13","100","100.24","72.85","27.39","17.56","65.4","11.01","90060","17.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","809250","712009","909698","0.000000","0.000000","0.000000","896557","903264","835448","0.000000","0.000000","0.000000","880113","883233","834932","0.000000","0.000000","0.000000","895115","884450","891881","0.000000","0.000000","0.000000","780964","897271","962735","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30071","63","1","1.10","1.6","2023-07-07T08:08:06","120","2023/07/07","08:08:06","0","0","0.0","0","5","66","77","3605","-1560","22737","13","100","99.83","72.22","27.61","17.61","65.6","11.08","90060","17.19","DUALSPOT-UV-BLUE-GREEN-RED-IR","807029","710067","907505","0.000000","0.000000","0.000000","901221","907890","839939","0.000000","0.000000","0.000000","878246","881292","833288","0.000000","0.000000","0.000000","892572","881883","889477","0.000000","0.000000","0.000000","783810","900597","966321","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30072","63","1","1.10","1.6","2023-07-07T08:08:11","120","2023/07/07","08:08:11","0","0","0.0","0","5","66","77","3600","-1624","22728","13","100","100.22","73.18","27.04","17.66","65.6","11.14","90064","17.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","810090","712776","911164","0.000000","0.000000","0.000000","897830","904458","836916","0.000000","0.000000","0.000000","880109","883127","835143","0.000000","0.000000","0.000000","894638","883900","891637","0.000000","0.000000","0.000000","780909","897315","962851","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30073","63","1","1.10","1.6","2023-07-07T08:08:16","120","2023/07/07","08:08:16","0","0","0.0","0","5","66","77","3616","-1552","22724","13","100","100.15","72.61","27.54","17.68","65.5","11.13","90068","17.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","806368","709548","907146","0.000000","0.000000","0.000000","900222","906863","839230","0.000000","0.000000","0.000000","876932","879927","832231","0.000000","0.000000","0.000000","890088","879379","887170","0.000000","0.000000","0.000000","782850","899560","965327","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30074","63","1","1.10","1.6","2023-07-07T08:08:21","120","2023/07/07","08:08:21","0","0","0.0","1","5","66","77","3576","-1560","22620","13","100","99.83","72.65","27.18","17.72","65.4","11.14","90072","17.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","808419","711372","909578","0.000000","0.000000","0.000000","903173","909819","842004","0.000000","0.000000","0.000000","878418","881409","833721","0.000000","0.000000","0.000000","892213","881489","889390","0.000000","0.000000","0.000000","784142","901064","966980","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","30075","63","1","1.10","1.6","2023-07-07T08:08:26","120","2023/07/07","08:08:26","0","0","0.0","1","5","66","77","3596","-1592","22612","13","100","100.49","72.61","27.88","17.75","65.2","11.13","90072","17.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","804215","707729","904987","0.000000","0.000000","0.000000","897798","904388","837102","0.000000","0.000000","0.000000","880066","883060","835347","0.000000","0.000000","0.000000","894858","884105","892093","0.000000","0.000000","0.000000","780705","897179","962859","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
