"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0420","48078","78","1","1.10","1.6","2023-08-04T09:15:00","120","2023/08/04","09:15:00","-15.79566216468811","35.00271999952383","0.1","9","300","66","98","-529","-26916","-504","1","150","150.07","117.00","33.07","20.75","56.6","11.82","91120","20.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","798812","704208","906134","0.000000","0.000000","0.000000","894030","889347","834288","0.000000","0.000000","0.000000","877288","868952","832040","0.000000","0.000000","0.000000","896033","873824","891533","0.000000","0.000000","0.000000","782668","902289","965571","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up-DualSpot on"
"MA200-0420","48079","78","1","1.10","1.6","2023-08-04T09:20:00","120","2023/08/04","09:20:00","-15.795599639415741","35.00272783287801","0.1","10","300","64","98","-568","-27112","-532","1","150","149.92","116.88","33.04","20.86","55.7","11.67","91124","21.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","796357","705396","909323","0.000000","0.000000","0.000000","893484","891446","837290","0.000000","0.000000","0.000000","876908","870737","834612","0.000000","0.000000","0.000000","887945","867711","885945","0.000000","0.000000","0.000000","778183","898260","961636","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","DualSpot on"
"MA200-0420","48080","78","1","1.10","1.6","2023-08-04T09:25:00","120","2023/08/04","09:25:00","-15.795599102973938","35.00267949979752","0.2","10","300","64","98","-508","-27008","-52","1","150","149.76","116.86","32.89","21.06","56.4","12.05","91120","21.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","787612","701558","906409","0.787015","0.221179","0.000000","893863","894965","841614","0.476389","0.123822","0.000000","871149","867524","832354","0.394112","0.100583","0.000000","890601","872251","891289","0.308674","0.078022","0.000000","779584","901166","965182","0.190896","0.044295","0.000000","3955","3949","3955","3022","2790","3022","2799","2538","2799","2649","2379","2649","2281","1881","2281","DualSpot on"
"MA200-0420","48081","78","1","1.10","1.6","2023-08-04T09:30:00","120","2023/08/04","09:30:00","-15.795635342597961","35.00266249966808","0.1","13","300","64","98","-488","-27132","-600","1","150","150.02","116.90","33.11","21.38","56.8","12.45","91136","22.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","782852","701746","909124","1.685912","0.490966","0.000000","883782","888204","836506","0.995719","0.269317","0.000000","867421","866484","832323","0.818246","0.214505","0.000000","887756","871595","891421","0.640629","0.168393","0.000000","777118","899844","964320","0.414133","0.099517","0.000000","4516","4785","4516","3293","3257","3293","3012","2856","3012","2848","2738","2848","2667","2329","2667","DualSpot on"
"MA200-0420","48082","78","1","1.10","1.6","2023-08-04T09:35:00","120","2023/08/04","09:35:00","-15.795571029186249","35.002754166256636","0.0","13","300","64","98","-458","-26962","-875","1","150","149.32","116.82","32.49","21.72","56.0","12.56","91148","22.38","DUALSPOT-UV-BLUE-GREEN-RED-IR","772066","696171","904278","2.545346","0.759113","0.000000","884355","891499","840643","1.430135","0.394373","0.000000","866939","868186","834743","1.163781","0.310558","0.000000","883035","868586","888971","0.903654","0.239654","0.000000","777815","901868","966892","0.597404","0.143638","0.000000","4321","4847","4321","2756","2853","2756","2455","2454","2455","2258","2200","2258","2191","1896","2191","DualSpot on"
"MA200-0420","48083","78","1","1.10","1.6","2023-08-04T09:40:00","120","2023/08/04","09:40:00","-15.795641720294952","35.002693499671295","0.0","13","300","64","98","-479","-26980","-324","1","150","149.44","116.67","32.77","21.98","54.6","12.42","91156","22.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","766098","695218","905655","3.479591","1.051834","0.040795","879966","890074","840559","1.913738","0.542086","0.000000","863181","866765","834323","1.547432","0.423241","0.000000","880685","868050","889175","1.194810","0.324701","0.000000","775144","900123","965478","0.792648","0.191537","0.000000","4703","5246","5481","3072","3341","3072","2730","2854","2730","2503","2603","2503","2337","2041","2337","DualSpot on"
"MA200-0420","48084","78","1","1.10","1.6","2023-08-04T09:45:00","120","2023/08/04","09:45:00","-15.795616090297699","35.00274616619572","0.2","12","300","64","98","-592","-26847","-996","1","150","149.81","117.20","32.61","21.94","53.2","11.97","91128","22.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","764305","697161","910233","4.218288","1.271957","0.021883","872946","886489","838598","2.489346","0.717645","0.000000","857469","864026","832940","2.048266","0.575250","0.000000","875019","864979","887100","1.604899","0.445977","0.000000","771662","897820","963770","1.069152","0.269450","0.000000","3702","3965","4078","3640","3991","3640","3547","3870","3547","3510","3731","3510","3295","3337","3295","DualSpot on"
"MA200-0420","48085","78","1","1.10","1.6","2023-08-04T09:50:00","120","2023/08/04","09:50:00","-15.79558652639389","35.0027304997202","0.2","12","300","64","97","-440","-27024","-444","1","150","150.40","116.82","33.57","21.83","52.9","11.79","91132","22.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","755130","692243","905740","4.920767","1.483516","0.013044","871403","887593","840689","2.905959","0.838351","0.000000","851447","860074","829948","2.389198","0.670916","0.000000","875409","867017","889848","1.869737","0.519515","0.000000","772715","900170","966665","1.231645","0.309819","0.000000","3531","3701","3774","2643","2665","2643","2422","2365","2422","2274","2197","2274","1943","1679","1943","DualSpot on"
"MA200-0420","48086","78","1","1.10","1.6","2023-08-04T09:55:00","120","2023/08/04","09:55:00","-15.795600831508636","35.00278666638769","0.0","11","300","64","98","-412","-26966","-1550","1","150","149.96","117.20","32.76","21.77","52.8","11.70","91132","22.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","747129","688809","903541","5.739027","1.736640","0.023119","866839","885578","839759","3.320342","0.955486","0.004692","852297","862977","833507","2.716482","0.761491","0.000000","870615","863805","887132","2.111421","0.585468","0.000000","769812","897753","964426","1.372131","0.345848","0.000000","4100","4538","4728","2621","2650","2662","2318","2295","2318","2068","2019","2068","1674","1536","1674","DualSpot on"
"MA200-0420","48087","78","1","1.10","1.6","2023-08-04T10:00:00","120","2023/08/04","10:00:00","-15.79557853937149","35.00278433319181","0.1","11","300","64","98","-341","-27079","-825","1","150","150.21","116.90","33.31","21.92","53.2","11.97","91132","22.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","744183","688553","904753","6.284338","1.910072","0.022766","864778","885636","840624","3.671348","1.056790","0.004854","851405","863877","835067","3.011590","0.844669","-0.005052","871203","865856","889798","2.346617","0.647973","0.000000","770296","899399","966541","1.531213","0.384531","0.000000","2739","3058","3197","2225","2254","2266","2095","2073","2064","2018","1882","2018","1900","1622","1900","DualSpot on"
