"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0420","26644","60","1","1.10","1.4","2023-05-28T11:36:31","120","2023/05/28","11:36:31","0","0","0.0","3","30","66","90","-76","-1504","-26384","2","150","150.07","114.13","35.94","23.52","54.5","13.81","90548","23.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","814962","714729","905240","0.000000","0.000000","0.000000","908506","908542","835314","0.000000","0.000000","0.000000","892426","888677","834733","0.000000","0.000000","0.000000","908714","890803","893200","0.000000","0.000000","0.000000","785989","899657","962816","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","26645","60","1","1.10","1.4","2023-05-28T11:37:01","120","2023/05/28","11:37:01","0","0","0.0","6","30","66","90","-80","-1424","-26603","2","150","149.60","114.05","35.55","23.61","54.7","13.97","90544","23.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","815622","715828","906909","0.000000","0.000000","0.000000","909235","909572","836477","0.000000","0.000000","0.000000","891718","888220","834493","0.000000","0.000000","0.000000","899974","882411","885005","0.000000","0.000000","0.000000","784059","897773","960797","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","26646","60","1","1.10","1.4","2023-05-28T11:37:31","120","2023/05/28","11:37:31","0","0","0.0","7","30","66","90","-141","-1450","-26504","2","150","149.82","113.90","35.92","23.71","54.4","13.97","90548","23.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","818309","718452","910484","0.000000","0.000000","0.000000","911410","911902","838802","0.000000","0.000000","0.000000","888592","885230","831833","0.000000","0.000000","0.000000","903931","886380","889139","0.000000","0.000000","0.000000","786255","900502","963777","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","26647","60","1","1.10","1.4","2023-05-28T11:38:01","120","2023/05/28","11:38:01","0","0","0.0","7","30","66","90","-8","-1480","-26428","2","150","149.32","113.66","35.65","23.80","54.1","13.96","90544","23.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","813182","714429","905618","0.000000","0.000000","0.000000","913018","913860","840756","0.000000","0.000000","0.000000","888920","885824","832507","0.000000","0.000000","0.000000","903120","885751","888631","0.000000","0.000000","0.000000","786147","900540","963920","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","26648","60","1","1.10","1.4","2023-05-28T11:38:31","120","2023/05/28","11:38:31","0","0","0.0","8","30","66","90","-62","-1525","-26537","2","150","149.87","114.22","35.65","23.89","53.8","13.96","90544","23.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","813938","715534","907250","0.000000","0.000000","0.000000","905949","907104","834682","0.000000","0.000000","0.000000","889383","886493","833293","0.000000","0.000000","0.000000","905714","888466","891475","0.000000","0.000000","0.000000","786531","901197","964669","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0420","26649","60","1","1.10","1.4","2023-05-28T11:39:01","120","2023/05/28","11:39:01","0","0","0.0","8","30","64","89","-52","-1436","-26347","2","150","149.34","114.01","35.33","23.98","53.5","13.94","90544","23.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","814391","716337","908500","0.000000","0.000000","0.000000","907304","908704","836278","0.000000","0.000000","0.000000","889818","887172","833986","0.000000","0.000000","0.000000","906408","889281","892402","0.000000","0.000000","0.000000","786962","901887","965405","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","",""
"MA200-0420","26650","60","1","1.10","1.4","2023-05-28T11:39:31","120","2023/05/28","11:39:31","0","0","0.0","9","30","64","89","-104","-1460","-26452","2","150","149.38","113.71","35.67","24.06","53.1","13.92","90540","23.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","809573","712628","904113","0.111880","0.033462","0.000000","909220","911033","838582","0.065565","0.022006","0.000000","885698","883367","830545","0.050342","0.014609","0.000000","899937","883157","886354","0.039541","0.013924","0.000000","787825","903119","966798","0.031799","0.006725","0.000000","5779","5509","5779","4274","4572","4274","3675","3399","3675","3488","3916","3488","3906","2633","3906",""
"MA200-0420","26651","60","1","1.10","1.4","2023-05-28T11:40:01","120","2023/05/28","11:40:01","-15.79557603597641","35.002872332930565","0.1","10","30","64","89","-96","-1416","-26663","2","150","148.77","113.31","35.46","24.15","52.8","13.92","90540","23.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","808888","712324","903899","0.180613","0.054563","0.000000","907981","909954","837696","0.102246","0.032788","0.000000","886396","884210","831436","0.081825","0.025505","0.000000","900105","883436","886713","0.062727","0.023077","0.000000","787850","903294","967016","0.054048","0.010770","0.000000","3562","3495","3562","2399","2254","2399","2306","2550","2306","2052","2589","2052","2743","1593","2743",""
"MA200-0420","26652","60","1","1.10","1.4","2023-05-28T11:40:31","120","2023/05/28","11:40:31","-15.79561048746109","35.002886166097596","0.0","10","30","64","89","-76","-1500","-26512","2","150","150.28","113.76","36.52","24.24","52.5","13.89","90544","23.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","811643","714943","907333","0.221928","0.067571","0.000000","911877","913983","841477","0.123763","0.041723","0.000000","888537","886426","833563","0.098645","0.032234","0.000000","902571","885909","889270","0.076895","0.030077","0.000000","784069","899075","962526","0.070745","0.012684","0.000000","2133","2092","2133","1402","1813","1402","1227","1529","1227","1249","1923","1249","2050","732","2050",""
"MA200-0420","26653","60","1","1.10","1.4","2023-05-28T11:41:01","120","2023/05/28","11:41:01","-15.795621573925018","35.002901166444644","0.1","10","30","64","89","-44","-1456","-26636","2","150","149.76","113.55","36.21","24.32","52.0","13.85","90544","23.75","DUALSPOT-UV-BLUE-GREEN-RED-IR","813058","716687","909851","0.309487","0.095035","0.000000","906338","908829","836903","0.178927","0.060074","0.000000","889003","887237","834452","0.142490","0.046110","0.000000","904112","887658","891167","0.112283","0.043587","0.000000","784693","900031","963616","0.100955","0.018899","0.000000","4529","4454","4529","3601","3757","3601","3205","3181","3205","3126","3743","3126","3716","2397","3716",""
