"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","29249","88","1","1.10","1.4","2023-05-28T08:41:00","120","2023/05/28","08:41:00","-15.795747339725494","35.00293399998918","0.1","12","30","66","91","-1020","656","-26212","14","150","149.90","115.24","34.66","26.07","43.5","12.70","90696","27.13","DUALSPOT-UV-BLUE-GREEN-RED-IR","850784","730927","902044","0.000000","0.000000","0.000000","808714","917871","764448","0.000000","0.000000","0.000000","902315","919099","814654","0.000000","0.000000","0.000000","886547","937467","863967","0.000000","0.000000","0.000000","747997","855501","949359","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","29250","88","1","1.10","1.4","2023-05-28T08:41:30","120","2023/05/28","08:41:30","-15.795765221118927","35.00295416638255","0.1","12","30","66","91","-2924","-1252","-25888","14","150","150.29","115.16","35.14","26.31","43.6","12.92","90692","27.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","858851","738118","911059","0.000000","0.000000","0.000000","809689","919181","765602","0.000000","0.000000","0.000000","902439","919369","814928","0.000000","0.000000","0.000000","887962","939116","865492","0.000000","0.000000","0.000000","752383","860694","955147","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","29251","88","1","1.10","1.4","2023-05-28T08:42:00","120","2023/05/28","08:42:00","-15.795753598213196","35.00294299959205","0.0","12","30","66","91","-2924","-1288","-26168","14","150","149.09","115.75","33.33","26.52","43.3","13.03","90692","27.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","852918","733256","905233","0.000000","0.000000","0.000000","805066","914067","761429","0.000000","0.000000","0.000000","903020","920112","815617","0.000000","0.000000","0.000000","883459","934458","861224","0.000000","0.000000","0.000000","748060","855886","949893","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","29252","88","1","1.10","1.4","2023-05-28T08:42:30","120","2023/05/28","08:42:30","-15.795736968517303","35.00294516654685","0.0","12","30","66","91","-2788","-1240","-26324","14","150","149.63","115.04","34.60","26.70","43.1","13.12","90688","27.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","845409","727449","898306","0.000000","0.000000","0.000000","808721","918689","765386","0.000000","0.000000","0.000000","900927","918387","814168","0.000000","0.000000","0.000000","888364","939953","866329","0.000000","0.000000","0.000000","750559","858963","953356","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","29253","88","1","1.10","1.4","2023-05-28T08:43:00","120","2023/05/28","08:43:00","-15.795746803283691","35.00297266617417","0.1","12","30","64","91","-2804","-1184","-26240","14","150","149.63","115.08","34.56","26.87","42.9","13.19","90688","27.50","DUALSPOT-UV-BLUE-GREEN-RED-IR","853036","734253","906875","0.000000","0.000000","0.000000","805130","914810","762212","0.000000","0.000000","0.000000","901456","919042","814775","0.000000","0.000000","0.000000","889230","941002","867322","0.000000","0.000000","0.000000","750783","859395","953865","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","",""
"MA200-0416","29254","88","1","1.10","1.4","2023-05-28T08:43:30","120","2023/05/28","08:43:30","-15.795758306980133","35.00296949944459","0.1","12","30","64","90","-2996","-1284","-25975","14","150","149.51","114.48","35.03","27.00","42.5","13.17","90688","27.56","DUALSPOT-UV-BLUE-GREEN-RED-IR","852443","734007","906680","0.045022","0.011337","0.000000","804449","914187","761737","0.023025","0.004577","0.000000","901344","919082","814836","0.017540","0.002235","0.000000","882618","934143","860979","0.012487","-0.002490","0.000000","750093","858778","953207","0.020914","0.001904","0.000000","2309","1901","2309","1491","968","1491","1272","529","1272","1094","-713","1094","2552","759","2552",""
"MA200-0416","29255","88","1","1.10","1.4","2023-05-28T08:44:00","120","2023/05/28","08:44:00","-15.795761108398438","35.002982166130096","0.0","12","30","64","91","-2948","-1336","-26191","14","150","150.11","115.49","34.63","27.12","42.1","13.15","90688","27.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","856520","737693","911336","0.082406","0.021848","0.000000","807643","917977","764926","0.043588","0.009817","0.000000","902829","920699","816288","0.031655","0.002426","0.000000","885805","937640","864159","0.024294","-0.003880","0.000000","751409","860370","955015","0.038091","0.004615","0.000000","1901","1783","1901","1320","1121","1320","1014","45","1014","1025","-402","1025","2077","1093","2077",""
"MA200-0416","29256","88","1","1.10","1.4","2023-05-28T08:44:30","120","2023/05/28","08:44:30","-15.795778274536133","35.00298033305444","0.0","12","30","64","90","-3175","-1579","-26287","14","150","149.63","115.16","34.48","27.23","41.9","13.16","90684","27.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","849646","732582","905400","0.185814","0.049968","0.000000","807670","918712","765712","0.111812","0.025606","0.000000","902608","921072","816740","0.084095","0.013714","0.000000","886654","938949","865486","0.061875","0.002205","0.000000","751365","860624","955362","0.070352","0.011365","0.000000","5274","4790","5274","4391","3395","4391","3780","2718","3780","3274","1771","3274","3913","2735","3913",""
"MA200-0416","29257","88","1","1.10","1.4","2023-05-28T08:45:00","120","2023/05/28","08:45:00","-15.795768141746521","35.00297333300114","0.0","12","30","64","90","-2900","-1364","-26100","14","150","150.09","115.24","34.86","27.32","41.5","13.11","90688","27.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","848991","732658","905765","0.338882","0.091812","0.000000","807148","918655","765839","0.215607","0.054121","0.000000","898973","917784","813950","0.167012","0.034713","0.000000","887984","940727","867199","0.123810","0.015407","0.000000","746831","855670","949940","0.116542","0.022614","0.000000","7801","7050","7801","6677","6064","6677","5973","5001","5973","5392","3799","5392","5599","4507","5599",""
"MA200-0416","29258","88","1","1.10","1.4","2023-05-28T08:45:30","120","2023/05/28","08:45:30","-15.79576861858368","35.002961833262816","0.0","12","30","64","90","-2960","-1260","-26363","14","150","150.05","114.92","35.13","27.42","41.3","13.11","90684","27.69","DUALSPOT-UV-BLUE-GREEN-RED-IR","849558","733711","907348","0.447278","0.121112","0.000000","802502","913896","762050","0.290936","0.071889","0.000000","898991","918260","814489","0.227826","0.046628","0.000000","881662","934427","861492","0.171881","0.023377","0.000000","746895","856056","950453","0.154457","0.031031","0.000000","5540","4898","5540","4859","3749","4859","4393","2815","4393","4196","2275","4196","4609","3346","4609",""
