A2.Location,burner,latitude,longitude
Naperi,Yes,-15.8112684,35.0127213
Naperi,Yes,-15.8108093,35.0129336
Naperi,Yes,-15.8110918,35.0135543
Naperi,Yes,-15.8110125,35.0134337
Naperi,No,-15.80926982,35.01148121
Naperi,Yes,-15.80976044,35.01038507
Naperi,No,-15.81164422,35.00807526
Naperi,No,-15.81145729,35.00650009
Naperi,No,-15.81310652,35.00451276
Naperi,Yes,-15.81419479,35.00610286
Naperi,No,-15.81413843,35.00688356
Naperi,No,-15.8130792,35.00795928
Naperi,No,-15.81134817,35.00911952
Naperi,No,-15.81040136,35.00936133
Naperi,No,-15.80919265,35.01163705
Naperi,No,-15.8098792,35.01016922
Naperi,No,-15.81117206,35.00682806
Naperi,No,-15.81289823,35.00438228
Naperi,No,-15.81350115,35.00517446
Naperi,No,-15.81420527,35.00588465
Naperi,No,-15.81375603,35.00731648
Naperi,No,-15.81262979,35.00848015
Naperi,No,-15.81111641,35.00895395
Naperi,No,-15.81002057,35.00980879
Naperi,No,-15.8108486,35.008449
Naperi,No,-15.8112719,35.0055542
Naperi,Yes,-15.8108629,35.0055301
Naperi,No,-15.8123695,35.0052142
Namiwawa,No,-15.8132436,35.0042454
Naperi,No,-15.8139158,35.0045001
Naperi,No,-15.8143118,35.0065205
Naperi,No,-15.8133262,35.0076538
Namiwawa,No,-15.8110375,35.0086924
Naperi,No,-15.8106712,35.0086382
Kachere,No,-15.7916647,35.0836477
Kachere,No,-15.7920243,35.0838175
Kachere,Yes,-15.7920889,35.0834984
Kachere,Yes,-15.7924806,35.0834475
Kachere,No,-15.7926781,35.0832285
Kachere,No,-15.7930433,35.0829746
Kachere,No,-15.7933065,35.082758
Kachere,Yes,-15.7937385,35.0821899
Kachere,No,-15.7935563,35.0820539
Kachere,Yes,-15.7931349,35.0821938
Kachere,No,-15.79127121,35.0838628
Kachere,Yes,-15.79109479,35.08381704
Kachere,No,-15.79085364,35.08349397
Kachere,No,-15.79034968,35.08322576
Kachere,No,-15.79026319,35.08325715
Kachere,No,-15.78950473,35.08438613
Kachere,No,-15.78789312,35.08534878
Kachere,No,-15.7882228,35.08538821
Kachere,No,-15.79056321,35.0845653
Kachere,No,-15.79036978,35.08430962
Kachere,No,-15.7901541,35.08381967
Kachere,No,-15.78940976,35.08383744
Kachere,No,-15.7902658,35.08305721
Kachere,No,-15.79045406,35.08409359
Kachere,Yes,-15.79092817,35.08369342
Kachere,No,-15.79071478,35.08322258
Kachere,No,-15.79012287,35.08355263
Kachere,No,-15.78884409,35.08448874
Kachere,Yes,-15.79138384,35.08388054
Kachere,No,-15.79106153,35.08370853
Kachere,Yes,-15.791567,35.0837114
Naperi,Yes,-15.7916045,35.0836388
Kachere,Yes,-15.7916275,35.0835247
Namiwawa,No,-15.7916665,35.0835629
Kachere,Yes,-15.791612,35.0836469
Kachere,No,-15.7914629,35.0840083
Kachere,No,-15.790847,35.0845049
Kachere,No,-15.7905848,35.084178
Kachere,No,-15.790985,35.0836316
Kachere,No,-15.792296,35.0841336
Kachere,No,-15.79126844,35.08575521
Kachere,No,-15.79100802,35.087256
Kachere,No,-15.79169584,35.08742307
Kachere,Yes,-15.79232221,35.08734525
Kachere,No,-15.79427157,35.08653248
Kachere,No,-15.79380076,35.08563348
Kachere,No,-15.7927578,35.08568212
Kachere,No,-15.79095554,35.08645031
Kachere,No,-15.79014409,35.08709339
Kachere,No,-15.78987363,35.0861415
Kachere,No,-15.79128814,35.0856152
Kachere,No,-15.79092626,35.0870274
Kachere,Yes,-15.79132914,35.08741585
Kachere,No,-15.7920952,35.0873769
Kachere,Yes,-15.79383161,35.08713991
Kachere,No,-15.79416245,35.08588418
Kachere,No,-15.793332,35.08577527
Kachere,No,-15.79137719,35.086717
Kachere,No,-15.7906978,35.0864605
Kachere,No,-15.78969863,35.08664947
Bangwe,No,-15.82371525,35.0883128
Bangwe,No,-15.82441211,35.08897413
Bangwe,No,-15.8251529,35.08993147
Bangwe,No,-15.82789325,35.09108469
Bangwe,No,-15.82875813,35.09017133
Bangwe,Yes,-15.83100327,35.08641563
Bangwe,Yes,-15.83148484,35.08613099
Bangwe,No,-15.83256668,35.08633429
Bangwe,No,-15.83357344,35.08650488
Bangwe,No,-15.833769,35.08915827
Bangwe,No,-15.82360932,35.08852073
Bangwe,No,-15.82360773,35.08887178
Bangwe,No,-15.82449797,35.08949171
Bangwe,No,-15.82755283,35.09118496
Bangwe,No,-15.82946614,35.08944114
Bangwe,Yes,-15.8313406,35.08636395
Bangwe,No,-15.83314338,35.08639615
Bangwe,No,-15.83236587,35.08884953
Bangwe,No,-15.83353009,35.08939589
Bangwe,No,-15.83466958,35.08692464
Bangwe,No,-15.8237229,35.0874789
Bangwe,No,-15.823822,35.0872358
Bangwe,No,-15.8237973,35.0867284
Bangwe,No,-15.8237432,35.0867539
Bangwe,No,-15.8239164,35.086982
Bangwe,No,-15.8243894,35.0877329
Bangwe,No,-15.8269035,35.0879207
Bangwe,No,-15.827683,35.0877209
Bangwe,No,-15.828895,35.0872074
Bangwe,No,-15.8306493,35.0859172
Bangwe,Yes,-15.82177603,35.08676386
Bangwe,No,-15.82288712,35.08661936
Bangwe,Yes,-15.82283941,35.08604771
Bangwe,No,-15.82387609,35.08442474
Bangwe,No,-15.82531994,35.08487361
Bangwe,Yes,-15.82687317,35.08524542
Bangwe,No,-15.82768072,35.08571652
Bangwe,No,-15.82773628,35.08691642
Bangwe,No,-15.82762583,35.08929635
Bangwe,No,-15.82524674,35.08893807
Bangwe,Yes,-15.82357132,35.08615484
Bangwe,Yes,-15.82394753,35.08595693
Bangwe,Yes,-15.82413685,35.08632466
Bangwe,No,-15.82428403,35.08658458
Bangwe,Yes,-15.82513465,35.08637885
Bangwe,No,-15.82573073,35.08634421
Bangwe,No,-15.82587225,35.08703828
Bangwe,Yes,-15.82597817,35.08760632
Bangwe,No,-15.8258256,35.0880173
Bangwe,No,-15.82189254,35.08694255
Bangwe,Yes,-15.82275022,35.08700213
Bangwe,No,-15.82296092,35.08607357
Bangwe,Yes,-15.82386729,35.08475096
Bangwe,No,-15.82565977,35.08499776
Bangwe,No,-15.82727075,35.08556648
Bangwe,Yes,-15.82799692,35.08630143
Bangwe,No,-15.82737054,35.08956141
Bangwe,No,-15.82687856,35.08927594
Bangwe,No,-15.82489304,35.08901182
Bangwe,Yes,-15.82341211,35.08650472
Chirimba,Yes,-15.74441915,35.01594648
Chirimba,No,-15.74506858,35.01619334
Chirimba,Yes,-15.74609099,35.01564643
Chirimba,No,-15.74674494,35.01571759
Chirimba,No,-15.74705285,35.01586946
Chirimba,Yes,-15.74673218,35.01667506
Chirimba,No,-15.74735246,35.01648611
Chirimba,No,-15.74812302,35.01638354
Chirimba,No,-15.74885489,35.01533377
Chirimba,No,-15.74731853,35.01545225
Chirimba,No,-15.7447178,35.01604714
Chirimba,Yes,-15.7443557,35.01595986
Chirimba,No,-15.74564905,35.01628009
Chirimba,No,-15.74631815,35.01593245
Chirimba,No,-15.74677722,35.01579278
Chirimba,Yes,-15.74704445,35.01580059
Chirimba,No,-15.74701969,35.01683584
Chirimba,Yes,-15.74725378,35.01661977
Chirimba,No,-15.7485172,35.01607317
Chirimba,No,-15.74840259,35.01506715
Nyambadwe,Yes,-15.7729622,35.0234897
Nyambadwe,Yes,-15.771956,35.0221926
Nyambadwe,Yes,-15.7723616,35.0218102
Nyambadwe,No,-15.7735829,35.0216542
Nyambadwe,Yes,-15.7732417,35.0209395
Nyambadwe,No,-15.7712586,35.0198554
Nyambadwe,No,-15.7713911,35.0166868
Nyambadwe,Yes,-15.771258,35.0162208
Nyambadwe,Yes,-15.770772,35.0152726
Nyambadwe,Yes,-15.7715492,35.0177556
Chirimba,No,-15.74206766,35.01780663
Chirimba,No,-15.74070064,35.01880418
Chirimba,No,-15.74224641,35.0185384
Chirimba,No,-15.74263528,35.01985172
Chirimba,No,-15.74297118,35.02085415
Chirimba,No,-15.74380284,35.02127032
Chirimba,Yes,-15.74358009,35.02100658
Chirimba,Yes,-15.74349206,35.02040966
Chirimba,No,-15.74323581,35.01966431
Chirimba,No,-15.74321923,35.01759146
Nyambadwe,Yes,-15.7725804,35.0236598
Nyambadwe,Yes,-15.7717596,35.0246361
Nyambadwe,No,-15.7712887,35.0237879
Nyambadwe,No,-15.7711659,35.0241
Nyambadwe,Yes,-15.7713668,35.0223169
Nyambadwe,No,-15.7715824,35.0220303
Nyambadwe,No,-15.7707486,35.0228753
Nyambadwe,Yes,-15.7692237,35.0234401
Nyambadwe,Yes,-15.7682787,35.0234991
Nyambadwe,Yes,-15.7678414,35.0233249
Nyambadwe,No,-15.76939999,35.0229592
Nyambadwe,Yes,-15.76685401,35.0241354
Nyambadwe,No,-15.768857,35.02624035
Nyambadwe,Yes,-15.76007765,35.02935579
Nyambadwe,No,-15.76286158,35.02649788
Nyambadwe,No,-15.76330636,35.02456169
Nyambadwe,Yes,-15.76433921,35.02280351
Nyambadwe,No,-15.76332013,35.02403085
Nyambadwe,No,-15.76728176,35.02784236
Nyambadwe,No,-15.76838594,35.02914925
Chirimba,No,-15.74184144,35.01801462
Chirimba,No,-15.74156057,35.01845175
Chirimba,No,-15.74283333,35.0187424
Chirimba,Yes,-15.74274934,35.01952954
Chirimba,No,-15.74312922,35.02111109
Chirimba,Yes,-15.74334245,35.02119966
Chirimba,No,-15.74347589,35.02071755
Chirimba,No,-15.74318416,35.02040806
Chirimba,No,-15.74313598,35.01927749
Chirimba,Yes,-15.74301823,35.01761439
Nyambadwe,Yes,-15.76745777,35.02965528
Nyambadwe,Yes,-15.76636648,35.0286687
Nyambadwe,No,-15.76653642,35.02823283
Nyambadwe,Yes,-15.76810322,35.02748271
Nyambadwe,Yes,-15.77116763,35.02713685
Nyambadwe,No,-15.77116138,35.0273458
Nyambadwe,No,-15.77090522,35.02269564
Nyambadwe,No,-15.7703779,35.02306059
Nyambadwe,Yes,-15.76439361,35.02742031
Chirimba,Yes,-15.76456121,35.02668003
Nyambadwe,Yes,-15.76662856,35.02954096
Nyambadwe,No,-15.76313414,35.02818176
Nyambadwe,Yes,-15.76140526,35.02754784
Nyambadwe,No,-15.76085376,35.02781367
Nyambadwe,Yes,-15.76076696,35.02741089
Nyambadwe,Yes,-15.76044853,35.02844358
Nyambadwe,Yes,-15.76011453,35.02806672
Nyambadwe,No,-15.76255932,35.02627451
Nyambadwe,Yes,-15.7772093,35.0222509
Nyambadwe,Yes,-15.7769507,35.0212757
Nyambadwe,Yes,-15.7700064,35.0217973
Nyambadwe,No,-15.7747063,35.022618
Nyambadwe,No,-15.7738288,35.0219849
Nyambadwe,No,-15.7663838,35.0165859
Nyambadwe,Yes,-15.7737256,35.0216832
Nyambadwe,Yes,-15.7740762,35.0221379
Nyambadwe,Yes,-15.7749049,35.0207054
Nyambadwe,Yes,-15.7753502,35.0217717
Nyambadwe,No,-15.76211781,35.0284032
Nyambadwe,Yes,-15.76004028,35.02887899
Chirimba,No,-15.74393672,35.01211692
Chirimba,No,-15.74451173,35.00978152
Chirimba,No,-15.7439242,35.00825445
Chirimba,No,-15.74526135,35.00665834
Chirimba,No,-15.74151197,35.00381987
Chirimba,Yes,-15.74104229,35.00438652
Chirimba,No,-15.74230235,35.00604862
Chirimba,No,-15.74375914,35.0089447
Chirimba,No,-15.74436194,35.01128091
Chirimba,No,-15.74473104,35.01249042
Chirimba,No,-15.74440674,35.0115848
Chirimba,No,-15.74428791,35.00979213
Chirimba,No,-15.74397616,35.00897871
Chirimba,No,-15.74553845,35.00723276
Chirimba,No,-15.74314248,35.00431715
Chirimba,No,-15.74130273,35.00417286
Chirimba,No,-15.74147176,35.00607755
Chirimba,Yes,-15.74209086,35.00599684
Chirimba,No,-15.74391371,35.00804314
Chirimba,No,-15.74466757,35.01159735
Sunnyside,Yes,-15.79602784,34.99770907
Sunnyside,Yes,-15.79742113,34.99685272
Sunnyside,No,-15.79721966,34.99445884
Sunnyside,No,-15.7979267,34.99388676
Sunnyside,Yes,-15.79870998,34.99353863
Sunnyside,No,-15.79962362,34.99388327
Sunnyside,No,-15.80167827,34.99543997
Sunnyside,No,-15.80330553,34.99465737
Sunnyside,No,-15.80267724,34.99881588
Sunnyside,No,-15.79879825,35.00272877
Sunnyside,No,-15.7952124,35.00109351
Sunnyside,Yes,-15.79548107,34.99837143
Sunnyside,No,-15.79740492,34.99726945
Sunnyside,Yes,-15.7980466,34.99508874
Sunnyside,No,-15.79943,34.9957844
Sunnyside,No,-15.80117053,34.9977292
Sunnyside,No,-15.8019822,34.99995652
Sunnyside,No,-15.80235686,35.00046914
Sunnyside,No,-15.80301784,35.00230472
Sunnyside,No,-15.79938819,35.00259141
Sunnyside,No,-15.79558231,34.99952031
Sunnyside,No,-15.79598141,34.99766811
Sunnyside,Yes,-15.79590276,34.99769611
Sunnyside,No,-15.7978501,34.99474045
Sunnyside,No,-15.79865143,34.99533671
Sunnyside,Yes,-15.79890975,34.99659115
Sunnyside,No,-15.79997434,34.99632632
Sunnyside,No,-15.80305324,35.00098702
Sunnyside,No,-15.79994744,35.00258235
Sunnyside,No,-15.79534783,35.0039401
Sunnyside,No,-15.8011436,34.9949005
Sunnyside,Yes,-15.80057966,34.99460504
Sunnyside,No,-15.80027915,34.99195435
Sunnyside,No,-15.7978106,34.9920712
Sunnyside,No,-15.79566355,34.99319133
Sunnyside,No,-15.79546855,34.99595763
Sunnyside,No,-15.79462971,34.99607382
Sunnyside,No,-15.79441732,34.99523773
Sunnyside,No,-15.79305698,34.99545787
Sunnyside,No,-15.79451045,35.00319601
Sunnyside,No,-15.80241619,34.99968543
Sunnyside,No,-15.80306505,34.99761512
Sunnyside,No,-15.79541762,34.99444483
Sunnyside,No,-15.7941233,34.99458769
Sunnyside,Yes,-15.79292788,34.99494315
Sunnyside,No,-15.80064821,34.99187409
Sunnyside,No,-15.79650574,34.99265198
Sunnyside,No,-15.795065,34.99730521
Sunnyside,No,-15.79342686,34.99739769
Sunnyside,Yes,-15.80143546,34.99515511
Sunnyside,No,-15.80264814,35.00077474
Sunnyside,No,-15.80268566,34.99703832
Sunnyside,No,-15.80073431,34.99378624
Sunnyside,No,-15.80110897,34.99220671
Sunnyside,No,-15.79694817,34.99236618
Sunnyside,No,-15.79521879,34.99353411
Sunnyside,No,-15.79554053,34.99677936
Sunnyside,Yes,-15.79425021,34.99513851
Sunnyside,No,-15.79316401,34.99603287
Sunnyside,No,-15.79331787,34.99719591
