id,event,time,comments,settlement_id
89,burning,09:26,,Ndirande
89,burning,09:28,,Ndirande
89,burning,09:30,,Ndirande
89,burning,09:39,,Ndirande
89,burning,09:43,,Ndirande
89,burning,09:46,,Ndirande
89,burning,09:52,,Ndirande
89,burning,10:05,,Ndirande
89,burning,10:10,,Ndirande
89,burning,10:21,,Ndirande
89,burning,10:31,,Ndirande
89,burning,10:52,,Ndirande
90,burning,15:13,,Ndirande
90,burning,15:18,,Ndirande
90,burning,15:20,,Ndirande
90,burning,15:37,,Ndirande
90,burning,15:42,,Ndirande
90,burning,15:45,,Ndirande
90,burning,15:48,,Ndirande
90,burning,16:11,,Ndirande
90,burning,16:14,,Ndirande
90,burning,16:16,,Ndirande
90,burning,16:23,,Ndirande
90,burning,16:39,,Ndirande
90,burning,16:45,,Ndirande
91,burning,14:31,,Bangwe
91,burning,14:46,,Bangwe
91,burning,14:52,,Bangwe
91,burning,14:56,,Bangwe
91,burning,14:57,,Bangwe
91,burning,15:01,,Bangwe
91,burning,15:06,,Bangwe
91,burning,15:14,,Bangwe
91,burning,15:19,,Bangwe
91,burning,15:27,,Bangwe
91,burning,15:41,,Bangwe
96,burning,10:05,,Bangwe
96,burning,10:07,,Bangwe
96,burning,10:11,,Bangwe
96,burning,10:28,,Bangwe
96,burning,10:30,,Bangwe
96,burning,10:43,,Bangwe
96,burning,10:49,,Bangwe
96,burning,10:55,,Bangwe
94,burning,09:31,,Kacheri
94,burning,09:39,,Kacheri
94,burning,09:57,,Kacheri
94,burning,10:01,,Kacheri
94,burning,10:05,,Kacheri
94,burning,10:09,,Kacheri
94,burning,10:10,,Kacheri
94,burning,10:12,,Kacheri
94,burning,10:19,,Kacheri
95,burning,14:10,,Kacheri
95,burning,14:16,,Kacheri
95,burning,14:23,,Kacheri
95,burning,14:24,,Kacheri
95,burning,14:39,,Kacheri
95,burning,14:42,,Kacheri
95,burning,14:59,,Kacheri
92,burning,09:53,,Chirimba
92,burning,09:58,,Chirimba
92,burning,10:07,,Chirimba
92,burning,10:14,,Chirimba
92,burning,10:26,,Chirimba
92,burning,10:42,,Chirimba
92,burning,10:46,,Chirimba
92,burning,11:13,,Chirimba
93,burning,14:22,,Chirimba
93,burning,14:24,,Chirimba
93,burning,14:27,,Chirimba
93,burning,14:31,,Chirimba
93,burning,14:35,,Chirimba
93,burning,14:38,,Chirimba
93,burning,14:44,,Chirimba
93,burning,14:52,,Chirimba
93,burning,14:56,,Chirimba
93,burning,14:57,,Chirimba
93,burning,15:04,,Chirimba
93,burning,15:11,,Chirimba
93,burning,15:18,,Chirimba
