id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,event,time,settlement_id
91,MA200-0416,77,2023-05-22,2023-05-22,2023-05-22T14:30:00Z,2023-05-22T15:45:00Z,personal_monitoring,burning,15:41:00,Bangwe
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,09:53:00,Chirimba
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,09:58:00,Chirimba
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,10:07:00,Chirimba
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,10:14:00,Chirimba
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,10:26:00,Chirimba
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,10:42:00,Chirimba
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,10:46:00,Chirimba
92,MA200-0416,78,2023-05-23,2023-05-23,2023-05-23T09:25:00Z,2023-05-23T10:28:00Z,personal_monitoring,burning,11:13:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:22:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:24:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:27:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:31:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:35:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:38:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:44:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:52:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:56:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,14:57:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,15:04:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,15:11:00,Chirimba
93,MA200-0416,79,2023-05-23,2023-05-23,2023-05-23T14:05:00Z,2023-05-23T14:59:00Z,personal_monitoring,burning,15:18:00,Chirimba
